path	bytes	sha256
AUDIT_REPORT.md	5759	32fadafc5b336a35aae10bc7c24e98c27bbd64e03d43d42bbd9f1a6a8f3d932c
COLD_REVIEW_REQUEST.md	1784	239d6485a8b288cb26039b57ad44d4018d21c11b5467cde1f049a2db3fa70be5
CONTROL_MUTATION_LEDGER.tsv	2013	754442c26e73575c0286a1d56360b71e01698d17e5095f95784183c520c1f1bd
EXTERNAL_REVIEW_NOT_TRANSMITTED.md	704	2c06aea81689ef6935f3062c82fe85b307c367d32e955574c63511186b18cce5
LAY_REPORT.md	1381	ee142b9ff5c4f291fd4d38f5baf15d0dcaa7ad7e604831ea42cc8db21ab870e8
PREMISE_LEDGER.tsv	2131	90dcd8c3b79f4e1e57ebe107a15e0a380240d53ae63d54b9476f3b54324982b8
PREREGISTRATION.md	3818	a25cf32ec06c8724c12d301224ac4924c8181d8b874d6eae8a3e8731850598ce
REPOSITORY_GATES.json	445	a1e79db4fac0c879a36eb8038e8d89624e77d42254c5c8f297a9eaa3cd00fa73
SOURCE_RECONCILIATION.tsv	1406	7f31ec6f712d04daac22e75cdd79eb6cd0fc8e16d5fc6c98f59f4d64f94ae468
STATUS_AND_WORKFLOW.md	4494	8860dbefd6e99f4f9de966497f56022b268d2e0d1299383354b457d60480c638
VERIFICATION_RESULT.json	539	193e5e9f995f8565633532e2e5be0757604b9d15e0a6736ed50316362d1bdc94
verify_package_manifest.py	1047	9901df88f73e28e8ac02e79c80f3d09b500457db52966ac10523cc962e55ec76
verify_repository_gates.py	6470	271d0a1a8a13aba1cd3f74cd144df943546ecc50b1a351537e99b85a67e09bda
verify_xmax_frame.py	6779	84e42566b08e98e3590ae880d89a1c4322fa2bd2644d9c3e6770ff568a646a80
verify_xmax_frame_independent.py	3918	61702f2dfaaa45c5aac364cd10e2135e92da2dcc32c9905d99569b7349130f36
