premise_id	object	status	active_use	forbidden_promotion
P01	complete regular pair-adapted coframe chart	CONDITIONAL_DERIVED	local chart and jet coverage	universal global split or selected physical branch
P02	founded reciprocal character	DERIVED	mandatory reduction/readout structure	phi profile or evolution equation inferred
P03	complete Lorentzian metric and curvature	DERIVED	construct natural tensors and identities	natural tensor silently set to zero
P04	observer composition and causal comparison	MIXED	classify comparison restrictions	comparison cocycle called bulk dynamics
P05	c_E	OBSERVED_CALIBRATION	units and terminal reciprocal readout	derivative coefficient or evolution scale invented
P06	X_max	WORKING_ASYMPTOTIC_LIMIT	global observer-pair limiting gate	material wall boundary functional or local PDE
P07	global descent and topology	CONDITIONAL_DERIVED	classify global-only restrictions	one physical branch path or history selected
P08	boundary completion	OPEN	type and ownership test	boundary data called an interior law
P09	bootstrap	WORKING_HYPOTHESIS_INACTIVE	later self-consistency candidate	density curvature or energy inserted now
P10	native action source evolution law	OPEN	maximum-conclusion guard	GR or familiar dynamics imported
