claim_id	claim	status	scope
S01	gauge-fixed B Q S variables map locally invertibly to all ten metric components	DERIVED	declared regular supplied split on the positive-screen time-oriented component with T L u w nonzero
S02	zero-jet Jacobian equals 16 L T^3 u^5 w^6	DERIVED	exact lower-Cholesky screen section
S03	finite-jet prolongations remain local diffeomorphisms	DERIVED	all finite k on the same local chart
S04	factorization alone supplies a nonidentity differential equation	REFUTED_IN_DECLARED_CHART	parameterization cannot cut its locally open jet image
S05	Cartan and Bianchi identities select histories	REFUTED_TYPE_ERROR	identities hold for every smooth regular metric
S06	natural curvature tensors are available	DERIVED_READOUT	no owned equation assigns their value
S07	observer composition selects bulk metric histories	NOT_DERIVED	conditional comparison/query scope
S08	c_E or Xmax selects local evolution	NOT_DERIVED	calibration and working asymptotic scope
S09	current global or boundary data select one interior history	NOT_DERIVED	conditional branch and no parent operator
S10	currently owned manifest-backed nonidentity history restriction	NOT_FOUND_SOURCE_BOUNDED	five preregistered owner classes audited across exactly ten frozen sources
S11	UDT can have no native history law	NOT_CLAIMED	future premise global closure or dynamics remain open
S12	bootstrap supplies current restriction	WORKING_HYPOTHESIS_DEFERRED	not tested or inserted
