path	size	sha256
AUDIT_REPORT.md	2718	7426ca4a5d20d779d9c2df6df6f18071bb1bbba14213c26cb2d3e63c433f77c2
CANDIDATE_OWNER_CLASSES.tsv	865	2e39cb809f84264284ab71089d50ff10ab40595b6439f0e6b54d2a822a4909e3
CATCH_PROOF_RESULT.json	837	6ba5e6736be76438df59498fce44b8ae5aec32879d506b8e05c2ed5728ad5010
DERIVATION_RESULT.json	1289	644ce9510b3274d3cf736c0100d9e328e6fc5209e10a500f30d85e58b0c248d4
EXACT_DERIVATION.md	8618	d4ad8db35d68bba341b9c93c43a2fac4bc1a71235a2769f67190b38fab297dc6
EXTERNAL_REVIEW_ADJUDICATION.md	1468	423184bec96d19208531f736fd2accac68e1c377c57847c3c2f67c96a10d9c88
EXTERNAL_REVIEW_DISPATCH.md	3055	0ce0d670b188614782b32b34c5a6410da7ee43c35842d901bfb3ef165ac8945f
EXTERNAL_REVIEW_RAW.md	2619	568f4388a3e903aecad16567dac40beb9b6ef7c1e90608e71932abe1865c87c0
FALSIFICATION_CONTRACT.tsv	972	112529f62877ef594a91c4cc83014f6b8e94fa2e93774a870aab9858c299c463
FINAL_VERIFICATION.md	1960	711d1db037f5ba290688a33e512c043eb900edfa348464ff7ba848a939c8f8b0
INDEPENDENT_VERIFICATION_RESULT.json	323	ed8f8f6258fa6137fa8ecc20837adcbb6801bf46159fee477b39894dfaf2e786
LAY_REPORT.md	921	d2dcc43d470ba96b835b178102c552094462d7a3331555454c9e69938f6bb320
NEXT_STEP.md	953	661a9047c8b9c6f1872e52bc919f892ea9e448e5bc6ef2c6d8c60804d4da3596
OWNER_CLASSIFICATION.tsv	1403	ab7cfb27936759079e9a33741e8001ad5e34c27dbc411ca0326d3ed790185ce8
PONDER_MAP.md	1000	035a87f113f12247dca0004c1d683108007ec08594c7be00ee7ab6f36947435e
PREMISE_LEDGER.tsv	1256	b8951408abae18120a86fa0da2b0b3fa8c7a27b7cd5a12fce0eccf68f06da29e
PREREGISTRATION.md	2872	e2d4cbba164e15881e4d8b856b15a7522efebcd181765e3fdba8d8889d0f20f6
PRE_REVIEW_REPORT.md	952	7e5dc31decf4d350822605159e3d52c1f75ac373ccaaf0304f312eb8b0605997
REPOSITORY_GATES.json	1087	dcf4110f9a32b9aad78d0fefeff6d11bffeeb3b0695511690c0fa04eba085418
SEALED_INTAKE_CORRECTION.md	1081	b945347a95828951c24c2a705b53df4593f8bac72ea1705cfc1da73f37dd155f
SEALED_INTAKE_REPLAY_RESULT.json	743	4ce5d8c41d795d8088175013356d0e51eac72f2f21d549eeae7b0b37d094460a
SOURCE_MANIFEST.tsv	1673	acb81fe7c0d0ec7cee28a27e825f0d853a410c9e5356f09cbbc57b1b04ac06d9
STATUS_LEDGER.tsv	1459	aa15509f39c85ca670f69ad11f6b52a77895436245435da094c51b69cc15e522
build_package_manifest.py	860	8d2a9af87da6c2bf66708942705e94bb5bdf6ec0492285ccdec18b1c0f1ab605
derive_history_restriction.py	3827	07139ff215cfe8adb3ffc258c6487d4265ba523293b2789ba70dd0234397406f
run_catch_proofs.py	4387	4eb87240c8af6d7accf54ea5de66542e27e4de66c08410177430c2a0f4508c7a
verify_fixed_base_sources.py	828	ef248643ad2771d77f6946a26a8790201c0693a6037c586ba899c6439262b58f
verify_history_restriction_independent.py	5799	78f1e8eae235831eb63d696d4e0b32545e3d221d33116b8ae23905d647d03252
verify_package_manifest.py	916	82df9954a36cefa09c4c5b17109475f068d98bdc344073615c920006dd8f1428
verify_preregistration.py	1545	40ace14a8bd58351691180fe1ed7e027e796d0be4a18b708f7a5a2f8ef1e2735
verify_repository_gates.py	8993	468f73c27666ad49036a51ab2994de6daf1fc9bb76be36cb0273a6e0c0930126
verify_sealed_intake.py	1595	6ac39922338f63539768cfd1b1ff6d093030b3d33cb21fa6c5aa36c6cdf08330
