gate_id	status	guard_type	mutation
F01	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	candidate_missing_duplicate_or_parent_status_changed
F02	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	parent_package_or_source_hash_mismatch
F03	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	new_profile_loop_radius_point_or_topology_added_after_outcome
F04	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	transport_assigned_to_zero_C14_C15_or_C18
F05	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	equatorial_sheet_deleted_after_parent_extension
F06	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	defect_circle_or_pole_junction_removed
F07	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	global_lift_claimed_without_nonvanishing_proof
F08	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	w1_zero_inferred_from_local_samples
F09	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	RP1_visual_turn_called_nontrivial_RP2_class
F10	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	oriented_vector_loop_and_unoriented_line_loop_conflated
F11	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	regular_edge_rank_inferred_at_one_basepoint
F12	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	equatorial_crossing_called_a_graph_junction
F13	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	pole_link_loses_any_of_six_punctures
F14	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	local_index_sign_called_canonical_under_orientation_reversal
F15	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	local_index_magnitude_changed_by_smooth_invertible_screen_map
F16	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	line_projected_connection_conflated_with_ambient_turning
F17	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	global_unit_line_frame_has_nonzero_projected_self_connection
F18	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	ambient_turning_singularity_called_line_holonomy
F19	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	kernel_plane_connection_formula_not_derived_from_metric_FT
F20	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	SO11_connection_called_U1_phase
F21	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	pointwise_nonzero_omega_called_nontrivial_finite_loop_holonomy
F22	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	curvature_at_p1_p2_called_global_nowhere_zero
F23	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	finite_loop_holonomy_invented_without_integral_or_exact theorem
F24	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	full_Levi_Civita_holonomy_called_defect_line_holonomy
F25	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	branch_dependence_claimed_from_decimal_threshold
F26	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	a_or_orientation_changes_topological_class_without_exact route
F27	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	screen_rotation_changes_w1_or_RP2_class
F28	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	T_or_N_sign_changes_line_projector_or_w1
F29	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	one_stationary_profile_called_universal_metric substrate
F30	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	stationary_off_shell_transport_called_dynamic persistence
F31	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	defect_index_called_charge_particle_carrier_or_Hopf section
F32	PASS_CAUGHT	SEMANTIC_SCOPE_GUARD	action_source_boundary_density_bootstrap_Xmax_matter_mass_or stability_inferred
F33	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	GPU_fit_relaxation_or_outcome_retuning_used
F34	PASS_CAUGHT	EVIDENCE_INDEPENDENCE_GUARD	semantic_guard_advertised_as_independent algebra
F35	PASS_CAUGHT	EVIDENCE_INDEPENDENCE_GUARD	production_and_fresh_review_share_load_bearing functions
F36	PASS_CAUGHT	EXACT_OUTPUT_OR_EVIDENCE_GUARD	uncomputed_object_silently_omitted_from_status ledger
