claim_id	object	status	exact_scope	open_scope
S01	defect_graph_and_complement	DERIVED_EXACT	D_two_vertices_six_edges_H1_complement_Z5	other_profile_families
S02	global_projective_line_lift	DERIVED_EXACT	Ntilde_Lg_f_nonzero_on_M	unregistered_metrics
S03	projective_monodromy	DERIVED_TRIVIAL	w1_zero_all_five_generators	other_line_objects
S04	regular_edge_turning	DERIVED_LOCAL	vector_degree_magnitude_one_RP1_twice_RP2_trivial	pole_turning_tensor_and_global_norm
S05	pole_link_structure	DERIVED_EXACT	two_S2_links_each_six_punctures	finite_link_holonomy
S06	projected_real_line_connection	DERIVED_FLAT	identity_holonomy_all_M_loops	ambient_turning
S07	ambient_line_turning	DERIVED_LOCAL_ASYMPTOTIC	meridional_1_over_rho_leading_turn	global_turning_atlas
S08	kernel_plane_bundle	DERIVED_TRIVIAL_ORIENTED_TIME_ORIENTED	span_global_T_n_on_M	other_branches
S09	kernel_plane_connection	DERIVED_EXACT_METRIC_ANCHORED_NONZERO	omega_formula_in_distinguished_T_n_frame_and_no_ruler_aligned_locus	arbitrary_SO11_gauge_and_other_metric_families
S10	kernel_plane_curvature	OBSERVED_EXACT_LOCAL_NONZERO	12_exact_p1_p2_certificates	global_zero_locus
S11	branch_dependence	OBSERVED_EXACT_BOUNDED	four_registered_screen_lambda_curvature_coordinate_triples_and_exact_a_scaling_at_two_points	global_signature_or_physical_branch_selection
S12	zero_radius_meridian_holonomy	DERIVED_IDENTITY_LIMIT	regular_edges	finite_and_pole_loop_holonomy
S13	finite_kernel_plane_holonomy	OPEN_PATH_DEPENDENT	path_integral_required	exhaustive_values
S14	full_Levi_Civita_holonomy	OPEN_NOT_COMPUTED	kept_distinct	complete_tangent_holonomy
S15	charge_carrier_substrate_or_physics	OPEN_NOT_DERIVED	maximum_conclusion_guard	all_downstream_physics
