gate_id	mutation_or_failure	must_fail_or_narrow
F01	candidate_missing_duplicate_or_parent_status_changed	candidate_universe_integrity
F02	parent_package_or_source_hash_mismatch	frozen_parent_authority
F03	new_profile_loop_radius_point_or_topology_added_after_outcome	preregistration_integrity
F04	transport_assigned_to_zero_C14_C15_or_C18	line_ownership_gate
F05	equatorial_sheet_deleted_after_parent_extension	extended_domain_integrity
F06	defect_circle_or_pole_junction_removed	complete_graph_census
F07	global_lift_claimed_without_nonvanishing_proof	orientability_guard
F08	w1_zero_inferred_from_local_samples	global_bundle_guard
F09	RP1_visual_turn_called_nontrivial_RP2_class	projective_topology_guard
F10	oriented_vector_loop_and_unoriented_line_loop_conflated	lift_criterion
F11	regular_edge_rank_inferred_at_one_basepoint	symbolic_edge_family_guard
F12	equatorial_crossing_called_a_graph_junction	stratum_guard
F13	pole_link_loses_any_of_six_punctures	junction_completeness
F14	local_index_sign_called_canonical_under_orientation_reversal	index_convention_guard
F15	local_index_magnitude_changed_by_smooth_invertible_screen_map	naturality_guard
F16	line_projected_connection_conflated_with_ambient_turning	connection_object_guard
F17	global_unit_line_frame_has_nonzero_projected_self_connection	metric_line_identity
F18	ambient_turning_singularity_called_line_holonomy	extrinsic_intrinsic_guard
F19	kernel_plane_connection_formula_not_derived_from_metric_FT	connection_provenance
F20	SO11_connection_called_U1_phase	group_provenance_guard
F21	pointwise_nonzero_omega_called_nontrivial_finite_loop_holonomy	path_integral_guard
F22	curvature_at_p1_p2_called_global_nowhere_zero	point_scope_guard
F23	finite_loop_holonomy_invented_without_integral_or_exact theorem	finite_path_guard
F24	full_Levi_Civita_holonomy_called_defect_line_holonomy	bundle_scope_guard
F25	branch_dependence_claimed_from_decimal_threshold	exact_branch_comparison
F26	a_or_orientation_changes_topological_class_without_exact route	topology_naturality
F27	screen_rotation_changes_w1_or_RP2_class	O2_gauge_invariance
F28	T_or_N_sign_changes_line_projector_or_w1	representative_sign_invariance
F29	one_stationary_profile_called_universal_metric substrate	bounded_family_guard
F30	stationary_off_shell_transport_called_dynamic persistence	authority_guard
F31	defect_index_called_charge_particle_carrier_or_Hopf section	interpretation_guard
F32	action_source_boundary_density_bootstrap_Xmax_matter_mass_or stability_inferred	physics_scope_guard
F33	GPU_fit_relaxation_or_outcome_retuning_used	method_guard
F34	semantic_guard_advertised_as_independent algebra	evidence_honesty
F35	production_and_fresh_review_share_load_bearing functions	independence_guard
F36	uncomputed_object_silently_omitted_from_status ledger	object_completeness
