object	status	exact_detail
defect_graph	TWO_VERTICES_SIX_EDGES_CONNECTED	three_great_circles_share_plus_minus_e3
graph_first_betti	5	E_minus_V_plus_1
complement_H1	Z_POWER_5	Alexander_duality_H1_M_isomorphic_to_H_caret_1_D
global_lift	GLOBAL_NONZERO_LIFT_ON_M	Ntilde=L_g_f_nonzero_on_M
line_w1	ZERO_ON_ALL_H1_GENERATORS	global_lift_trivializes_real_line
regular_meridian_RP2	TRIVIAL_IN_PI1_RP2	closed_S2_lift_of_linear_normal_map
regular_meridian_RP1	TWO_TRAVERSALS	not_intrinsic_nontrivial_RP2_class
local_vector_index	MAGNITUDE_ONE	signed_plus_plus_minus_in_frozen_orientation
pole_links	S2_MINUS_SIX_PUNCTURES_EACH	leading_map_2yz_3xz_minus_xy
line_metric_connection	FLAT_IDENTITY_HOLONOMY	global_unit_frame_has_projected_derivative_zero
ambient_turning	NONTRIVIAL_SINGULAR_LOCAL_TURNING	meridional_norm_scales_1_over_rho_leading_transverse_image_turn_tends_2pi
kernel_plane_meridian_holonomy	IDENTITY_ZERO_RADIUS_LIMIT	omega_bounded_loop_length_order_rho
