candidate_id	parent_status	transport_scope	frozen_metric_controls
C01	ZERO	NO_LINE_CONTROL	lambda=-1;a=1
C02	ZERO	NO_LINE_CONTROL	lambda=0;a=1
C03	ZERO	NO_LINE_CONTROL	lambda=1;a=1
C04	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=0;a=1;area_only
C05	ZERO	NO_LINE_CONTROL	lambda=0;a=1;diagonal_shear
C06	ZERO	NO_LINE_CONTROL	lambda=0;a=1;offdiagonal_shear
C07	ZERO	NO_LINE_CONTROL	lambda=0;a=1;both_shears
C08	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=0;a=1;full_screen
C09	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=-1;a=1;full_screen
C10	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=1;a=1;full_screen
C11	ZERO	NO_LINE_CONTROL	lambda=0;a=1;slaved_area
C12	ZERO	NO_LINE_CONTROL	lambda=0;a=1;constant_area
C13	ZERO	NO_LINE_CONTROL	lambda=0;a=1;constant_depth
C14	PROJECTOR_BLOCKED	PROJECTOR_BLOCKED_CONTROL	lambda=0;a=1;homogeneous
C15	PROJECTOR_BLOCKED	PROJECTOR_BLOCKED_CONTROL	lambda=0;a=0;twist_free
C16	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=0;a=4;full_screen
C17	MULTIPLE_NONZERO_TYPES_ON_DIFFERENT_LOCI	FULL_DEFECT_TRANSPORT	lambda=0;a=5;full_screen
C18	METRIC_DEGENERATE	DEGENERATE_CONTROL	lambda=0;a=1;V=0
