premise_id	choice_or_object	audit_ruling	effect_on_maximum_conclusion
P01	foundational_reciprocal_pair_action	AUDITED_PRECEDENCE_ONLY	does_not_supply_complete_embedding_or_dynamics
P02	parent_intrinsic_pair_projector	AUDITED_FROZEN_INPUT	result_conditional_on_parent_projector_scope
P03	parent_distribution_and_defect_graph	AUDITED_FROZEN_INPUT	result_not_arbitrary_profile_theorem
P04	stationarity	AUDITED_CHOSEN_EXISTENCE_CONTROL	no_time_live_persistence_claim
P05	S3_completion	AUDITED_CHOSEN_EXISTENCE_CONTROL	no_physical_topology_selection
P06	six_full_transport_candidates	AUDITED_COMPLETE_BOUNDED_OWNER_SET	no_physical_branch_value
P07	nine_zero_two_blocked_one_degenerate	AUDITED_FAIL_CLOSED_CONTROLS	no_transport_assigned_without_line
P08	Maurer_Cartan_coframe	AUDITED_FROZEN_CONVENTION	other_completions_open
P09	Levi_Civita_connection	AUDITED_METRIC_DERIVED	no_action_or_field_equation_inferred
P10	orientation	AUDITED_REVERSED_CONTROL	index_sign_not_canonical
P11	T_N_representative_signs	AUDITED_REVERSED_CONTROL	line_classes_invariant_anchored_omega_sign_conventional
P12	screen_O2_frame	AUDITED_NATURALITY_CONTROL	geometric_objects_invariant_components_transform
P13	regular_meridian_germs	AUDITED_COMPLETE_SIX_EDGE_LOCAL_SET	no_finite_physical_loop_selection
P14	pole_link_spheres	AUDITED_COMPLETE_TWO_SIX_PUNCTURE_LINKS	no_boundary_or_carrier_sphere
P15	p1_p2_connection_points	AUDITED_HABIT_SAMPLED	local_certificates_not_global_curvature_classification
P16	projected_subbundle_connections	AUDITED_OBJECT_SEPARATION	no_full_tangent_holonomy_equivalence
P17	carrier_Hopf_charge_quantization	AUDITED_EXCLUDED	remains_open_not_inferred
P18	action_source_boundary_density_bootstrap_Xmax_matter_mass_stability	AUDITED_EXCLUDED	all_downstream_physics_remains_open_or_conditional
P19	GPU_ODE_PDE_relaxation_fitting	AUDITED_NOT_USED	exact_CPU_atlas_only
