object_id	object	question	maximum_status
O01	extended_domain_M	is_S3_minus_D_the_correct_maximal_continuation_domain	EXACT_DOMAIN_OR_CORRECTION
O02	global_nonzero_lift	is_there_a_global_nonzero_vector_representative_of_LW_on_M	DERIVED_OR_OBSTRUCTED
O03	line_orientability	what_is_w1_of_the_real_line_bundle	EXACT_Z2_CLASS
O04	global_projective_monodromy	what_are_the_five_H1_generator_images_in_Z2	EXACT_HOMOMORPHISM
O05	regular_edge_normal_map	what_is_the_rank_two_leading_map_on_each_edge	EXACT_SYMBOLIC_FAMILY
O06	local_vector_index	what_is_the_orientation_scoped_transverse_index	EXACT_MAGNITUDE_AND_CONVENTION
O07	RP1_traversal	what_apparent_projective_turn_occurs_in_the_local_image_plane	EXACT_BUT_NOT_PROMOTED
O08	RP2_loop_class	is_each_regular_meridian_trivial_or_nontrivial_in_pi1_RP2	EXACT_Z2_CLASS
O09	equatorial_crossing_data	do_the_six_crossings_change_the_regular_edge_class	EXACT_COMPARISON
O10	north_pole_link	what_is_the_quadratic_link_map_and_six_puncture_data	EXACT_LINK_ATLAS
O11	south_pole_link	what_is_the_quadratic_link_map_and_six_puncture_data	EXACT_LINK_ATLAS
O12	line_projected_connection	what_is_the_metric_connection_on_LW	EXACT_CONNECTION
O13	line_holonomy	what_is_its_holonomy_on_all_loops_in_M	EXACT_IF_GLOBAL_LIFT
O14	ambient_turning_tensor	what_is_(I-PiL)nabla_n_and_its_defect_asymptotic	EXACT_LOCAL_CLASS_OR_OPEN
O15	kernel_plane_bundle	is_span_T_N_globally_orientable_and_time_orientable	EXACT_BUNDLE_CLASS
O16	kernel_plane_connection	what_is_omegaE_equals_g_n_nabla_T	EXACT_ONE_FORM
O17	kernel_plane_curvature	what_is_OmegaE_equals_domegaE	EXACT_FORM_AND_POINT_CERTIFICATES
O18	infinitesimal_holonomy	is_local_SO11_holonomy_nontrivial_and_branch_dependent	EXACT_LOCAL_CERTIFICATE
O19	finite_loop_holonomy	what_can_be_said_without_evaluating_every_path_integral	FORMULA_OR_OPEN_PATH_DEPENDENT
O20	screen_frame_invariance	do_O2_changes_alter_intrinsic_classes	EXACT_NATURALITY
O21	orientation_and_sign_controls	which_signed_data_are_conventional	EXACT_CONTROL_ATLAS
O22	lambda_shear_dependence	which_transport_data_change_across_C04_C08_C09_C10	EXACT_BRANCH_COMPARISON
O23	twist_a_dependence	which_transport_data_change_across_C08_C16_C17	EXACT_BRANCH_COMPARISON
O24	zero_blocked_degenerate_controls	can_any_control_acquire_a_line_or_connection	NO_LINE_OR_BLOCKED
O25	full_Levi_Civita_holonomy	is_tangent_bundle_holonomy_the_same_as_defect_line_holonomy	DISTINCT_OBJECT_NOT_CONFLATED
O26	topological_charge_or_carrier	does_any_class_select_physics	OPEN_NOT_INFERRED
