loop_id	stratum	registered_family	coverage_role
L01	C03_NORTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L02	C03_SOUTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L03	C13_NORTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L04	C13_SOUTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L05	C23_NORTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L06	C23_SOUTH_EDGE	regular_meridian_germ_symbolic_base	local_rank_index_and_monodromy
L07	EQUATOR_PLUS_E0	regular_C03_meridian_at_q3_zero	equatorial_extension_consistency
L08	EQUATOR_MINUS_E0	regular_C03_meridian_at_q3_zero	equatorial_extension_consistency
L09	EQUATOR_PLUS_E1	regular_C13_meridian_at_q3_zero	equatorial_extension_consistency
L10	EQUATOR_MINUS_E1	regular_C13_meridian_at_q3_zero	equatorial_extension_consistency
L11	EQUATOR_PLUS_E2	regular_C23_meridian_at_q3_zero	equatorial_extension_consistency
L12	EQUATOR_MINUS_E2	regular_C23_meridian_at_q3_zero	equatorial_extension_consistency
L13	NORTH_POLE	S2_link_minus_six_axis_punctures	junction_map_and_all_peripheral_loops
L14	SOUTH_POLE	S2_link_minus_six_axis_punctures	junction_map_and_all_peripheral_loops
L15	GLOBAL_COMPLEMENT	candidate_five_H1_generator_classes_to_verify	global_w1_and_line_orientability
L16	P1	inherited_exact_stereographic_anchor	connection_and_curvature_certificate
L17	P2	inherited_exact_stereographic_anchor	connection_and_curvature_certificate
L18	P3_TO_P7	inherited_exact_regression_set	line_and_extension_regression_only
