candidate_id	point_id	omega_xyz	Omega_xy_xz_yz	omega_norm_squared	Omega_nonzero
C04	p1	-5375195867799126600*sqrt(18366089100139189912993185770379467512291575762263107115)/109581494218937106505871067492735055519091336963;-40690189652452455500*sqrt(18366089100139189912993185770379467512291575762263107115)/328744482656811319517613202478205166557274010889;-3525672289948404750*sqrt(18366089100139189912993185770379467512291575762263107115)/109581494218937106505871067492735055519091336963	-1300645803176792038342366517521534988395689810017878012892500*sqrt(18366089100139189912993185770379467512291575762263107115)/11821672164660856565510772579123641500124861105574982057606079681326311540007395411923637;-2079409691137418702479938242582127083478464535351556446643750*sqrt(18366089100139189912993185770379467512291575762263107115)/11821672164660856565510772579123641500124861105574982057606079681326311540007395411923637;-1891968402882217828478728330252595168211311632425881852758750*sqrt(18366089100139189912993185770379467512291575762263107115)/11821672164660856565510772579123641500124861105574982057606079681326311540007395411923637	5492615678770258519803002758019861842676741412816800/66664593442383843251899077903523807326196916549489037	YES
C04	p2	-3590627423197500*sqrt(18218453219755726377797263679390881946441829635)/2969479281519897180433555304628246831041;8454179118936600*sqrt(18218453219755726377797263679390881946441829635)/2969479281519897180433555304628246831041;5780450879295750*sqrt(18218453219755726377797263679390881946441829635)/2969479281519897180433555304628246831041	13256717895785301435491781969255192236641586857500*sqrt(18218453219755726377797263679390881946441829635)/7186201672287960259359107863631307932743258796784146521520959558713772823;23046716785020221605140656136241494996894608216250*sqrt(18218453219755726377797263679390881946441829635)/7186201672287960259359107863631307932743258796784146521520959558713772823;1720658502819155586183417358973718628456592043750*sqrt(18218453219755726377797263679390881946441829635)/7186201672287960259359107863631307932743258796784146521520959558713772823	21067557007896145539428255335335476439200/323551824401316672266542060633355868220553	YES
C08	p1	-995815904722816303990148811680*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/300664463419643575685980371767560799482187978463183430053811241449034044963446107700357;-22614955260425219504949574869200*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/2705980170776792181173823345908047195339691806168650870484301173041306404671014969303213;-217723572468853447305735102600*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/100221487806547858561993457255853599827395992821061143351270413816344681654482035900119	-6691376028793914120239178510592510586692340074407817635031140899496397178803163711717782243942004341254054978425994710368*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/455325616707356349914757074420275725101950369742397619990466513778481007612069123698382746910842750042668803314997828861922901088494485550677788818048879698819718095599179581219;-516481193794877613607089360846860392305017871887749211749437228353048191791362666787702798147178562630980255689930861200*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/50591735189706261101639674935586191677994485526933068887829612642053445290229902633153638545649194449185422590555314317991433454277165061186420979783208855424413121733242175691;-833570187248743522360332316269987758493867358355371916420640571174371242731350833363645597735230663598526187125177233720*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/455325616707356349914757074420275725101950369742397619990466513778481007612069123698382746910842750042668803314997828861922901088494485550677788818048879698819718095599179581219	147602915865661623239387675612906296574775384034862066269326010996096377706411405396215942800/1646200111011198325884909209648113337314235698077892168570383194457518325050058525738979022787	YES
C08	p2	-5056304020327210334068350000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883;11905133791235521223039436000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883;8140002728063442470511795000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883	113972211678878497025017305070405768445428133797904291314939108159737990847259752132492583711099250000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697;113474439386448818117968990128811630074545107009401434356640671810339021994935213658493259147658925000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697;151091221968995488178447954795978520512199398397877327063745086618839348573653250733639154362921125000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697	1479857956642530078072989114904213578301909261292730262361001008416362179600/17181693575736826106126815764808933361432001996577375763548728675480974229739	YES
C09	p1	-7147494154426526911355019870684720*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/705621737740056911821994473861414967349939812064178404930997917579448373136589;-54106473482331384627138098448190600*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/2116865213220170735465983421584244902049819436192535214792993752738345119409767;-4688149548892221793940207626523700*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/705621737740056911821994473861414967349939812064178404930997917579448373136589	-7367935843436670004033838027188332291222973214213988880808334019069929213111374706830667865909856767955572*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/490171863099595994709828485149523061929778635767127756719771054359591764570387810958946422463356297488788103867910901194276716274195821923852547368533;-15298970609501735776900220547728300099298220482903035149844646445975347121007881564520940590249210377519450*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/490171863099595994709828485149523061929778635767127756719771054359591764570387810958946422463356297488788103867910901194276716274195821923852547368533;-4116310160371193092978473123558411233790073815645041709527892692654493450250424016060658445588099494909210*sqrt(709582131473948887446993954705243760838137104751564174571865784421592312459106613519070)/163390621033198664903276161716507687309926211922375918906590351453197254856795936986315474154452099162929367955970300398092238758065273974617515789511	35743329413362997566257980602766214685082387969386797710226997854652650946774808225/47696604051862870725984850980513219855103667059861461486882308157888048993190082379	YES
C09	p2	-70959722772727686557285325000*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/1590952912089042652520867586188127544598262799972558065132708885793;167075593160957962831416402000*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/1590952912089042652520867586188127544598262799972558065132708885793;114236077306769565584539252500*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/1590952912089042652520867586188127544598262799972558065132708885793	114707105700059669856669255357423296333670471988349713476101341767219343147414439255062500*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/2062782573515607045735400068614141887403982146427342401957172686258385824480787606548177329244058136136644683196245774985326167;250740847123796144464995953771881811092670017310679687034194410079245698103716605972881250*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/2062782573515607045735400068614141887403982146427342401957172686258385824480787606548177329244058136136644683196245774985326167;-38906568466838237160114691392928379782295949761333825404944980671267276361267792296031250*sqrt(19521739979201235196477730090293833392166645739179274561468950401856432710)/2062782573515607045735400068614141887403982146427342401957172686258385824480787606548177329244058136136644683196245774985326167	180607245977171052538559934155799701194201502441738609181593387682475/173348815883815479108497866027681542140968401793781223976561387713769	YES
C10	p1	-44835922087560108706673576757366914462834880*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/5472968087667924616468946118532823607176042891673248311371693153722816257765171080008999;-339407570971436232979546937708199065758842400*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/16418904263003773849406838355598470821528128675019744934115079461168448773295513240026997;-29408559610892993364974311399974534782254800*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/5472968087667924616468946118532823607176042891673248311371693153722816257765171080008999	-1652825147054104472226468901984755817058528680339424134334616341969626428136059590867123616327439590053972381617951377814149008*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/29488338756987553738714529064926928524847753693666015428468336621028811090029954317972448944126140823666849563711163705259590726777494555249146990563173711520377095509373;-809584324328551215094676115686576431071079526460669998369841761970050827037067405427590596294257997099402824905726931873209800*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/29488338756987553738714529064926928524847753693666015428468336621028811090029954317972448944126140823666849563711163705259590726777494555249146990563173711520377095509373;83574962304285728101621082441071851295196896683564447975831222221380766514545216615612892553895539800800656524041269003460680*sqrt(192525260519178672149531203402177997054481841408396966501722496613210677439772567573070)/29488338756987553738714529064926928524847753693666015428468336621028811090029954317972448944126140823666849563711163705259590726777494555249146990563173711520377095509373	5808172830047912130250690430385542458424187309467595958067774092147636346073683701413663084575520136515895404800/906967048136518146292291956071324891307724936818614397898150177874329893877002897676787499756675540953000168406027	YES
C10	p2	-2959429451464806531824114245113300000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/122318160366840157636971166594153011196448570960981880553674734237315160883;6968015258530926811767824247541128000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/122318160366840157636971166594153011196448570960981880553674734237315160883;4764302880441887104651316113501410000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/122318160366840157636971166594153011196448570960981880553674734237315160883	704902476027296648666517372997902043745507734483078112653618092863246516044537580553208030986542300250000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/12193283839598667636284692759787018017642954475358811092222727129142762546862497642546527593924255769946970045872134375013486271058032682467887;301553379597660949456388702755565102394227151766848035988334654895742175890031608918990806660320509525000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/12193283839598667636284692759787018017642954475358811092222727129142762546862497642546527593924255769946970045872134375013486271058032682467887;1600938709588567469844633883093405469389724398199934554405915149055269789093427533055338139702092210875000*sqrt(7070413894037003331616830438968382150083732425490282112929175389440182710)/12193283839598667636284692759787018017642954475358811092222727129142762546862497642546527593924255769946970045872134375013486271058032682467887	2574021645157738103249999086721186991841316745839651656880327840945631283231010561887801600/600577553544712737702422696885422326408355792503364100719238034138351172540518774343848672979	YES
C16	p1	-3983263618891265215960595246720*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/300664463419643575685980371767560799482187978463183430053811241449034044963446107700357;-90459821041700878019798299476800*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/2705980170776792181173823345908047195339691806168650870484301173041306404671014969303213;-870894289875413789222940410400*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/100221487806547858561993457255853599827395992821061143351270413816344681654482035900119	-26765504115175656480956714042370042346769360297631270540124563597985588715212654846871128975768017365016219913703978841472*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/455325616707356349914757074420275725101950369742397619990466513778481007612069123698382746910842750042668803314997828861922901088494485550677788818048879698819718095599179581219;-2065924775179510454428357443387441569220071487550996846997748913412192767165450667150811192588714250523921022759723444800*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/50591735189706261101639674935586191677994485526933068887829612642053445290229902633153638545649194449185422590555314317991433454277165061186420979783208855424413121733242175691;-3334280748994974089441329265079951033975469433421487665682562284697484970925403333454582390940922654394104748500708934880*sqrt(3618852260251812319577490676341496554104250092210243907552127217616885912259557642221785028024897517737819027370)/455325616707356349914757074420275725101950369742397619990466513778481007612069123698382746910842750042668803314997828861922901088494485550677788818048879698819718095599179581219	2361646653850585971830202809806500745196406144557793060309216175937542043302582486339455084800/1646200111011198325884909209648113337314235698077892168570383194457518325050058525738979022787	YES
C16	p2	-20225216081308841336273400000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883;47620535164942084892157744000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883;32560010912253769882047180000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/157689369203774448742633242776933112866816139567421487248784963615956260883	455888846715513988100069220281623073781712535191617165259756432638951963389039008529970334844397000000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697;453897757545795272471875960515246520298180428037605737426562687241356087979740854633973036590635700000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697;604364887875981952713791819183914082048797593591509308254980346475357394294613002934556617451684500000*sqrt(15893412588559067059263875945976633790937983464211845872825875608692441304986167034390806610)/1836624636821142991038402548253967973847020543297258964796864264205624513674096679666974329790342258263898176292328322095871482789095003544036866697	23677727306280481249167825838467417252830548180683684197776016134661794873600/17181693575736826106126815764808933361432001996577375763548728675480974229739	YES
