object_id	object	status	exact_scope	open_scope
O01	extended_domain_M	DERIVED_EXACT	S3_minus_two_vertex_six_edge_D_with_generic_equator_filled_and_H1_Z5	other_metrics_or_continuations
O02	global_nonzero_lift	DERIVED_EXACT	Ntilde_equals_Lg_f_nonzero_on_M	nonregistered_metrics
O03	line_orientability	DERIVED_EXACT_ORIENTABLE	w1_zero	other_line_constructions
O04	global_projective_monodromy	DERIVED_EXACT_TRIVIAL	zero_on_all_five_H1_generators	other_projective_objects
O05	regular_edge_normal_map	DERIVED_EXACT_RANK_TWO	all_six_symbolic_nonpole_edges	pole_junction_maps_separate
O06	local_vector_index	DERIVED_EXACT_MAGNITUDE_ONE	six_regular_edges_signs_orientation_scoped	canonical_signed_charge
O07	RP1_traversal	DERIVED_EXACT_TWO	six_regular_edge_meridians	physical_interpretation
O08	RP2_loop_class	DERIVED_EXACT_TRIVIAL	six_regular_edge_meridians_and_global_lift	other_projective_maps
O09	equatorial_crossing_data	DERIVED_REGULAR_EDGE_POINTS	six_axis_crossings_not_graph_vertices	other_stratifications
O10	north_pole_link	DERIVED_EXACT	S2_minus_six_punctures	full_link_holonomy_integrals
O11	south_pole_link	DERIVED_EXACT	S2_minus_six_punctures	full_link_holonomy_integrals
O12	line_projected_connection	DERIVED_EXACT_FLAT	global_unit_line_frame	ambient_parallelism
O13	line_holonomy	DERIVED_EXACT_IDENTITY	all_loops_in_M	other_connections
O14	ambient_turning_tensor	DERIVED_LOCAL_ASYMPTOTIC	regular_edges_meridional_1_over_rho_and_leading_image_turn	global_norm_atlas_and_pole_asymptotics
O15	kernel_plane_bundle	DERIVED_EXACT_TRIVIAL	span_of_global_T_and_n_on_M	other_branches
O16	kernel_plane_connection	DERIVED_EXACT_METRIC_ANCHORED	omega_equals_qT_over_2_times_n3theta2_minus_n2theta3_in_T_n_frame	arbitrary_SO11_gauge_and_other_metrics
O17	kernel_plane_curvature	OBSERVED_EXACT_POINT_CERTIFICATES	domega_nonzero_at_p1_p2_for_six_candidates	global_zero_locus
O18	infinitesimal_holonomy	OBSERVED_EXACT_LOCAL	local_nontrivial_SO11_holonomy_follows_near_12_nonzero_curvature_certificates	global_and_finite_loop_classification
O19	finite_loop_holonomy	OPEN_PATH_DEPENDENT	regular_defect_meridian_identity_limit_only	exhaustive_finite_loop_integrals
O20	screen_frame_invariance	DERIVED_NATURALITY	geometric_omega_invariant_under_consistent_screen_O2_components_SO11_frame_change_inhomogeneous_curvature_tensorial	arbitrary_nonorthonormal_redefinitions_outside_metric_frame
O21	orientation_and_sign_controls	DERIVED_EXACT	index_sign_and_anchored_frame_connection_sign_conventional	physical_orientation_selection
O22	lambda_shear_dependence	OBSERVED_EXACT_BOUNDED	four_registered_screen_lambda_coordinate_triples_distinct_at_p1_p2	global_branch_classification
O23	twist_a_dependence	DERIVED_EXACT_SCALING	C16_four_times_and_C17_five_times_C08	physical_a_selection
O24	zero_blocked_degenerate_controls	DERIVED_NO_TRANSPORT_ASSIGNMENT	nine_zero_two_projector_blocked_one_degenerate	other_controls
O25	full_Levi_Civita_holonomy	OPEN_NOT_COMPUTED	explicitly_distinct_from_line_and_plane_objects	complete_tangent_bundle_holonomy
O26	topological_charge_or_carrier	OPEN_NOT_INFERRED	interpretation_excluded	charge_quantization_carrier_Hopf_section_physics
