premise_id	choice_or_object	status	role	not_supplied
P01	foundational_reciprocal_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01_G02	interpretation_guard	complete_embedding_or_dynamics
P02	parent_intrinsic_pair_projector	pinned-by-THEORY:614c6b22	metric_projector_input	universal_or_on_shell_selection
P03	parent_distribution_and_defect_graph	pinned-by-THEORY:04e1d9a9+b58cdabd_correction	line_and_domain_input	arbitrary_profile_theorem
P04	stationarity	CHOSE_EXISTENCE_CONTROL	Killing_clock_and_time_independence	time_live_metrics
P05	S3_completion	CHOSE_EXISTENCE_CONTROL	global_cell_and_graph	physical_topology_selection
P06	six_full_transport_candidates	free-and-explored:FROZEN_PARENT_CONTROLS	bounded_branch_comparison	physical_branch values
P07	nine_zero_two_blocked_one_degenerate	pinned-by-THEORY:parent_atlas	fail_closed_controls	transport_on_absent_line
P08	Maurer_Cartan_coframe	pinned-by-THEORY:frozen_global_convention	exact_frame algebra	alternative_completion
P09	Levi_Civita_connection	pinned-by-THEORY:registered_metric	metric_transport	independent action or field equation
P10	orientation	free_and_reversed	signed_index_and_Hodge_control	preferred_orientation
P11	T_N_representative_signs	free_and_reversed	line_and_plane_controls	preferred_line orientations
P12	screen_O2_frame	free_and_rotated	gauge_naturality	preferred_screen axes
P13	regular_meridian_germs	pinned-by-THEORY:normal_bundle_topology	local defect probes	finite physical loop selection
P14	pole_link_spheres	pinned-by-THEORY:local_link_topology	junction probes	boundary or carrier sphere
P15	p1_p2_connection_points	pinned-by-HABIT:inherited_exact_regression_points	local existence_and_difference	global curvature classification
P16	projected_subbundle_connections	pinned-by-THEORY:Levi_Civita_projection	line_and_plane transport	full tangent holonomy equivalence
P17	carrier_Hopf_charge_quantization	OPEN_EXCLUDED	interpretation_guard	emergence or selection
P18	action_source_boundary_density_bootstrap_Xmax_matter_mass_stability	OPEN_OR_CONDITIONAL:EXCLUDED	no role	downstream physics
P19	GPU_ODE_PDE_relaxation_fitting	EXCLUDED	exact_CPU_audit_only	numerical evolution
