source_id	path	sha256	bytes	role
S01	AGENTS.md	e74024f82f6adf4aaed8ea15eb61d176a330abc574bc5495b43415335b3b25db	11819	binding_method
S02	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	WRL_scope
S03	udt_premise_reset_audit_2026-07-19/OWNER_MEANING_LEDGER.tsv	393889c25975e8c9bded1f9e5aac90b285273c80e40914f1492159b61ae093d5	3638	owner_meanings
S04	udt_premise_reset_audit_2026-07-19/SEMANTIC_CONFLICT_LEDGER.tsv	1ccec456049e1783848d802ed042c37faf36a6c48fde65caab35d820ce5205fa	4600	withdrawn_frame_interpretation
S05	udt_reciprocal_c_metric_meaning_audit_2026-07-22/PREREGISTRATION_OWNER_CLARIFICATION.md	c8cde9e7a4496a9d467b4335665b1fc1b2cfa7aa155b7c99a653c7d04d2049ba	1952	no_preferred_frame
S06	udt_reciprocity_regime_angular_center_audit_2026-07-22/PREREGISTRATION.md	30ac0f94b59bf809bd6e8abd375a672884db838361c4308b49596ed8a6c81b41	6658	regime_and_angular_scope
S07	udt_three_reciprocity_delta_k_audit_2026-07-23/PREREGISTRATION.md	7bdeb2eb4f8ac2502e1f248645d045c57f4eb3de41a80a9941d2794ede0acbfa	7381	reciprocity_distinctions
S08	udt_xmax_dilation_asymptote_correction_2026-07-23/AUDIT_REPORT.md	fd3d99c357d158021151e12013158da13b0a4c30940bcec4c60f3cc7b7277164	6959	WRL_Xmax_profile
S09	udt_xmax_dilation_asymptote_correction_2026-07-23/STATUS_LEDGER.tsv	97d51fcc3db1e2521332f1c8476f65111865903991cc1a109c02a3d15c8984cd	1732	parent_statuses
S10	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/AUDIT_REPORT.md	2744eaf8cd99948804e34f22f6d496a9f1a8d6f0b1867d29e6d82f920248cb35	8818	corrected_parent
S11	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/STATUS_LEDGER.tsv	b413dc304ad5485e8f78ae9a9f89169415fe3ac4986db5f6f8d9212567b66db9	2168	corrected_parent_statuses
S12	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/DERIVATION_RESULT.json	f108a42fe020e72858d38d56f167548a25ec499769cd3085c3ebe43a1ada61f6	6534	parent_exact_output
S13	udt_wrl_xmax_lightcone_frame_audit_2026-07-23/PRIOR_WORK_REGRADE.tsv	609961f97adde4b9965cacaf2ce33a733ee591bc61c6377e9c049271d06d30dd	1853	parent_regrade
S14	udt_metric_to_frontier_reference_2026-07-22/REFERENCE.md	a8b27cb298a95dc1f3eabc5c4ff78b2835041a4d3dcc3e184d8ff6be47ded1e7	18350	frontier_synthesis
S15	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	8327	regular_extension_and_mass_open
S16	xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	bfcaaa7bfa0b9455c32f39ebbed38f8f166c097fd375e4c265f956e5df6799e8	12603	pure_frame_acceleration_comparison
