claim_id	claim	status	scope_or_reason
S01	no_preferred_macroscopic_inertial_observer_frame	OWNER_LOCKED	Charles_correction
S02	r_is_nonnegative_observer_centered_separation	OWNER_LOCKED	not_signed_absolute_position
S03	A_equals_exp_minus_two_phi_equals_one_minus_r_over_X	DERIVED_CONDITIONAL_WRL	recorded_WRL_branch
S04	centered_relational_clock_factor_sqrt_A_tends_zero	DERIVED_CONDITIONAL_WRL	r_approaches_X_from_inside
S05	conditional_observational_mass_factor_e_to_phi_tends_infinity	DERIVED_CONDITIONAL_READOUT	not_native_invariant_mass
S06	native_matter_mass_tends_infinity	OPEN	no_complete_native_matter_functional
S07	proper_reach_is_finite_and_optical_reach_is_infinite	DERIVED_CONDITIONAL_WRL	centered_chart
S08	A_negative_swaps_t_clock_and_r_ruler_causal_roles	DERIVED_CONDITIONAL_WRL	fixed_polarization
S09	same_centered_clock_ruler_chart_continues_admissibly_through_A_zero	REFUTED_IN_CLASS	roles_degenerate_then_swap
S10	A_zero_is_an_operational_limit_of_the_same_centered_clock_ruler_polarization	DERIVED_CONDITIONAL_CENTERED_DOMAIN	not_a_global_topology_theorem
S11	regular_ingoing_tensor_extension_exists	DERIVED_CONDITIONAL_WRL	manifold_geometry
S12	regular_extension_contains_mathematical_null_and_timelike_curves	DERIVED_CONDITIONAL_WRL	not_observers
S13	those_curves_prove_a_physical_observer_crosses_X	WITHDRAWN_INTERPRETATION	no_observer_centered_transition_law
S14	WRL_R_equals_6_over_Xr_and_K_equals_8_over_X2r2	DERIVED_CONDITIONAL_WRL	direct_four_tensor_reconstruction
S15	fixed_WRL_tensor_has_a_geometrically_distinguished_center	DERIVED_CONDITIONAL_WRL	scalars_are_injective_in_r
S16	distinct_centered_WRL_charts_are_standard_overlapping_charts_of_one_tensor_geometry	REFUTED_IN_CLASS	scalar_equality_forces_same_r
S17	standard_chart_no_go_refutes_all_relational_UDT_metrics	FALSE_EXCLUDED	observer_indexed_or_complete_metric_options_remain
S18	local_connected_radial_frame_group_is_SO_plus_1_1	DERIVED_LOCAL	metric_preservation
S19	constant_local_inertial_frame_change_preserves_the_cone	DERIVED_LOCAL	not_global_observer_composition
S20	varying_coframe_changes_connection_but_not_curvature_or_invariant_cone	DERIVED_PURE_FRAME	no_physical_metric_response
S21	acceleration_physically_changes_the_UDT_metric_or_cone	OPEN	no_acceleration_response_law
S22	old_constant_phi_shift_is_a_complete_observer_recenter	REFUTED_CANDIDATE	fails_angular_block_and_scalar_center_test
S23	old_shift_failure_refutes_no_preferred_frame	FALSE_EXCLUDED	it_refutes_only_that_candidate_map
S24	common_Xmax_for_all_observational_frames	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	not_derived_by_fixed_WRL_tensor
S25	numerical_Xmax	OPEN	native_scale_breaking_bootstrap_missing
S26	global_observer_recenter_and_pair_composition	OPEN	no_relational_cocycle
S27	global_boundary_quotient_seam_or_second_cell	OPEN	complete_finite_cell_not_selected
S28	parent_regular_crossing_observer_wording	WITHDRAWN_INTERPRETATION	parent_package_preserved
S29	parent_static_and_moving_observer_wording	WITHDRAWN_INTERPRETATION	parent_package_preserved
S30	parent_exact_null_coframe_and_regular_extension_algebra	RETAINED_EXACT	regraded_scope
