test_id	object	exact_result	status	meaning
C01	WRL_Ricci_scalar	R_equals_6_over_Xr	DERIVED_CONDITIONAL_WRL	curvature_varies_with_centered_radius
C02	WRL_Kretschmann_scalar	K_equals_8_over_X2r2	DERIVED_CONDITIONAL_WRL	curvature_varies_with_centered_radius
C03	scalar_overlap_condition	R_rO_equals_R_rP_forces_rO_equals_rP	DERIVED_INJECTIVITY	two_standard_charts_must_assign_the_same_radius_on_overlap
C04	second_scalar_check	K_rO_equals_K_rP_for_positive_r_forces_rO_equals_rP	INDEPENDENT_EXACT_CHECK	confirms_the_Ricci_result
C05	distinct_center_relabeling	nontrivial_recenter_cannot_preserve_the_WRL_scalars	DERIVED_INCOMPATIBILITY_UNDER_STANDARD_CHART_ONTOLOGY	the_fixed_WRL_metric_cannot_be_the_same_centered_tensor_geometry_for_every_observer
C06	preferred_cosmic_center	the_WRL_tensor_has_a_distinguished_curvature_center	DERIVED_FOR_FIXED_WRL_TENSOR	not_authorized_as_UDT_observer_ontology
C07	no_preferred_frame	owner_premise_remains_controlling	OWNER_LOCKED	requires_a_relational_observer_index_or_a_different_complete_metric
C08	observer_indexed_metric	g_O_for_each_observer_would_avoid_standard_chart_identification	OPEN_CANDIDATE_ONTOLOGY	no_composition_or_overlap_law_derived
C09	complete_metric_completion	additional_sectors_could_change_the_standard_chart_ruling	OPEN	the_no_go_is_only_for_the_fixed_WRL_tensor_branch
C10	old_phi_shift	fails_full_angular_metric_homothety	DERIVED_CANDIDATE_REJECTION	not_a_refutation_of_observer_frame_reciprocity
C11	common_Xmax	not_obtained_from_scalar_overlap	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	global_bootstrap_or_observer_composition_still_required
C12	absolute_inward_outward_motion	not_defined_by_the_owner_frame_premise	REJECTED_INTERPRETATION	r_is_nonnegative_relational_separation
