test_id	layer	input	exact_result	status	exclusion
A01	local_inertial_coframe	constant_eta	SO_plus_1_1_preserves_metric_and_null_lines	DERIVED_LOCAL	no_global_recenter
A02	uniform_relative_motion	constant_eta	connection_unchanged_and_cone_unchanged	DERIVED_LOCAL_ORDINARY_REGIME	no_physical_warp
A03	varying_coframe	smooth_eta_t_r	omega_prime_equals_omega_minus_deta	DERIVED_FRAME_CONNECTION	no_metric_response
A04	varying_coframe_curvature	smooth_eta_t_r	domega_prime_equals_domega	DERIVED_PURE_FRAME	mixed_derivatives_cancel
A05	accelerated_coordinate_presentation	varying_eta	components_and_connection_can_tilt	DERIVED_KINEMATIC	no_invariant_cone_change
A06	physical_acceleration_response	acceleration_history_to_new_metric	no_map_present	OPEN	no_GR_equivalence_import
A07	acceleration_selected_worldline	eta_or_trajectory_equation	no_equation_present	OPEN	metric_does_not_choose_observer_motion
A08	acceleration_warps_invariant_cone	requires_changed_physical_metric	OPEN_NOT_TESTED	pure_frame_change_cannot_do_it
A09	gravity_acceleration_equivalence	not_supplied	NOT_DERIVED	no_GR_postulate
A10	extreme_regime_departure	not_supplied	OPEN	no_micro_or_Xmax_crossover_claim
