id	path	read_scope
W3	founding.md	W3/W3.1 and directly relevant founding passages only
G257	udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/AUDIT_REPORT.md	Whole report
G260	udt_g260_gr_quiet_angular_nondiscard_audit_2026-08-25/AUDIT_REPORT.md	Whole report
G296	udt_g296_complete_metric_native_residual_order_map_2026-08-29/AUDIT_REPORT.md	Whole report
G301_PROOF	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/EXACT_DERIVATION.md	Whole derivation
G301_AUDIT	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md	Whole report
G301_PREMISES	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/PREMISE_LEDGER.tsv	Whole ledger
G303	udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/AUDIT_REPORT.md	Whole report
G310_PROOF	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/EXACT_DERIVATION.md	Whole derivation
G310_ADOPTION	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	Whole record
G311_PROOF	udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/EXACT_DERIVATION.md	Whole derivation
G312_PROOF	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXACT_DERIVATION.md	Whole derivation
G312_PREMISES	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/PREMISE_LEDGER.tsv	Whole ledger
G312_REVIEW	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXTERNAL_REVIEW_RESPONSE.md	Whole review
G312_FOLLOWUP	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/REPAIR_FOLLOWUP_RESPONSE.md	Whole response
G312_ADOPTION	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	Whole record
G313	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	Whole report
G314	udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md	Whole report
G338	udt_g338_explicit_taub_pair_finite_time_readout_2026-09-03/AUDIT_REPORT.md	Whole report
G348	udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/AUDIT_REPORT.md	Whole report
G350	udt_g350_frequency_area_carried_content_ownership_2026-09-05/AUDIT_REPORT.md	Whole report
G351	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md	Whole report
G352	udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md	Whole report
G367_G369	udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md	Whole banking record; no original proof replay
G372_G373	udt_g372_g373_conditional_banking_2026-09-08/BANKING_RECORD.md	Whole banking record; no original proof replay
G379_G380	udt_g379_g380_conditional_banking_2026-09-08/BANKING_RECORD.md	Banking dependency and claim sections through limitations; no original topology or PDE re-review
G381_G382	udt_g381_g382_conditional_banking_2026-09-09/BANKING_RECORD.md	Whole banking record; no original proof replay
NE1	udt_nonlinear_ripple_geometry_2026-09-09/REVIEWED_RESULT.md	Whole reviewed summary; no original proof replay
REGISTRY	CURRENT_SCIENTIFIC_PREMISES.tsv	Exact selected IDs/fields only; full file hashed, never wide-row dump
VERIFIER	verify_current_scientific_premises.py	Selected startup and G312 ownership guards only; full file hashed
TESTS	tests/test_startup_surface.py	Selected ownership and compactness guards only; full file hashed
AGENTS	AGENTS.md	Whole controlling instruction
CANON	CANON.md	Preservation hash only, not scientific evidence read
MANUSCRIPT	UDT_METRIC_KERNEL_DEVELOPMENT.md	Preservation hash only, fixed snapshot not audited
COVERAGE	UDT_METRIC_KERNEL_COVERAGE.tsv	Preservation hash only, fixed snapshot not audited
CAPTURE	udt_shared_readout_metric_constraint_campaign_2026-09-06/run_capture.py	Whole bounded capture wrapper
