id	path	sha256	bytes	read_scope
W3	founding.md	b4b0d9a9fdd093c992647195aca7579566a9e77a396071a699c1938888a49e75	41347	W3/W3.1 and directly relevant founding passages only
G257	udt_g257_gr_quiet_limit_embedding_audit_2026-08-25/AUDIT_REPORT.md	ad4135a3d4dd52bb6c1229695b341957a1066659e00beffd737b7fa2b0c0e82c	3346	Whole report
G260	udt_g260_gr_quiet_angular_nondiscard_audit_2026-08-25/AUDIT_REPORT.md	a28ee2332cf3e14e619c0c332339079605ca81e566d7513b0caa2e29af67d102	2856	Whole report
G296	udt_g296_complete_metric_native_residual_order_map_2026-08-29/AUDIT_REPORT.md	0e443bfb9b947acaf2933b66af3c73ca20146016abd180d4ff424591f7851af7	3355	Whole report
G301_PROOF	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/EXACT_DERIVATION.md	633b907b5384aa63d61d49db067dd4e608e6abd3bf3571e4267f91e5c74da8fb	8641	Whole derivation
G301_AUDIT	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/AUDIT_REPORT.md	f2197ee7a23a88017a9ac970f9a187a13113cf0bbcc1dcbd493588e9c53a1c5f	3524	Whole report
G301_PREMISES	udt_g301_scale_free_quiet_regular_causal_principal_classification_2026-08-30/PREMISE_LEDGER.tsv	32495b6cf6e259e614fc78b246845c02150bc3a04b919610ae29990f20452ed0	2646	Whole ledger
G303	udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/AUDIT_REPORT.md	8830a1b8fba6e82fd964508c6df766f0b9227affbd64dc12a19f4d585d07e3fc	3150	Whole report
G310_PROOF	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/EXACT_DERIVATION.md	a417b3cfa1cc6136429a14d3b330c1b8c25c73c9e946d6b6454d6ffae72c25a0	7725	Whole derivation
G310_ADOPTION	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5	2114	Whole record
G311_PROOF	udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/EXACT_DERIVATION.md	4fd4ca84d353018c02e32d49cf261de3472b3fafd74b0f268b0960653bdfd307	9205	Whole derivation
G312_PROOF	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXACT_DERIVATION.md	90ae2841153754087e64ba14d0a61c408d0b5767b5c8ed9f558da0b49ab30ea4	6197	Whole derivation
G312_PREMISES	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/PREMISE_LEDGER.tsv	a28690ec6e0bf61c6e25ce74e175a2220ac480dda2c795dcd0ccfac272e421a3	1059	Whole ledger
G312_REVIEW	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/EXTERNAL_REVIEW_RESPONSE.md	8bffb36acbae9f23320f5df7e399fa92ace465d9763dabe6b3c3c71b8ef791a1	3746	Whole review
G312_FOLLOWUP	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/REPAIR_FOLLOWUP_RESPONSE.md	32d679897afcd1de87f31574720775c48588cd29bc19806215c81bba7d456c6b	39	Whole response
G312_ADOPTION	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1	3061	Whole record
