id	inspected_claim_layer	declared_inputs	impact_of_filter_only_clarification	audit_limit	controlling_statement_source
G303	Conditional equation/data and principal-system equivalences	G301 classes and scoped Cauchy method	Mathematics unchanged; no independent ownership of either equation	Source-report dependency triage, not Cauchy proof re-review	udt_g303_two_class_nonlinear_cauchy_data_classification_2026-08-30/AUDIT_REPORT.md
G313/G314	Einstein solution arena, data and optional history selection	Ric=Lambda g; bounded witnesses and methods	Equation-dependent conclusions conditional; old active-law ownership needs warning	No full solution census or re-proof	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md; udt_g314_global_admissibility_actualization_type_classification_2026-09-01/AUDIT_REPORT.md
G338	Finite-time Taub pair response	Supplied Taub metric; chosen commuting carry; G176 kernel	Readout algebra survives; UDT lawfulness uses disputed equation-ownership join	Not all G338-G347 claims inspected	udt_g338_explicit_taub_pair_finite_time_readout_2026-09-03/AUDIT_REPORT.md
G348	Generic quotient/Jacobi/screen/area theorem	Arbitrary smooth 4D Lorentzian metric and regular affine null ray	No GR field-equation dependency for stated general theorem	Entire original mathematical and review scope remains	udt_g348_generic_lorentzian_null_screen_area_theorem_2026-09-04/AUDIT_REPORT.md
G350	R^p A^q character classification	Metric frequency/area on supplied labels; chosen full positive multiplicative class	No use of vacuum field equation for character theorem; weights unselected	Examples and any history-law claims need separate typing	udt_g350_frequency_area_carried_content_ownership_2026-09-05/AUDIT_REPORT.md
G351	Inverse-area regular density	Owner-provisional conserved supplied finite label measure; geometric area	Separate conservation premise remains; no physical identification	Nonzero regular AC component only; original singular/caustic caveats	udt_g351_source_free_labelwise_carried_measure_conservation_2026-09-05/AUDIT_REPORT.md
G352	Continuous clock-rate R A^-1 readout	Owner-provisional readout and CHOSEN continuous phase-independent product	Separate conditional algebra survives; no source or light identification	Physical realization OPEN; atomic counting remains distinct	udt_g352_clock_rate_carried_measure_readout_2026-09-05/AUDIT_REPORT.md
G367/G368	Regular current and optional natural tensor classification	Supplied regular null phase tube/product; optional zero-derivative tensor class and universal divergence requirement	Not selected by vacuum equation; conditional mathematics unchanged	Banking source declarations, not full theorem replay	udt_g367_g369_conditional_banking_2026-09-08/BANKING_RECORD.md
G373	Restricted independent-data analytic joint development	Separately OPTIONAL UNADOPTED sourced equation, restricted data/product and CK hypotheses	No native source ownership before or after clarification; branch PAUSED	No smooth stability; three vacuous checks remain EXCLUDED; no original proof replay	udt_g372_g373_conditional_banking_2026-09-08/BANKING_RECORD.md
G379	Positive torus-slope closure/Hopf discriminator	Supplied smooth positive slope class; elementary flow/holonomy	No vacuum law needed for discriminator	Does not construct lawful metric data; no wider foliation theorem	udt_g379_g380_conditional_banking_2026-09-08/BANKING_RECORD.md
G380	Actual local Ricci-line nonpreservation	G379, G376-G378, Einstein constraints/development and supplied marking/gap	Lawful counterexample remains conditional on Einstein branch; not a theorem about every filter-only UDT candidate	All local/method/quantifier caveats and preserving examples remain; lost outputs not recovered	udt_g379_g380_conditional_banking_2026-09-08/BANKING_RECORD.md
G381/G382	Einstein tidal compatibility, restricted null jets and local realizations	Ric=Lambda g, ideal tides/frame and finite-jet hypotheses; Lambda=0 explicit realization	Mathematics retained in exact Einstein arena; not newly forced by filter-only premises	No general metric realization; false passes, repairs and lost-output caveats retained	udt_g381_g382_conditional_banking_2026-09-09/BANKING_RECORD.md
NE1	Exact polarized nonlinear development and marked comparison	Einstein equation at Lambda=0, supplied split torus/full data and marking	Reviewed UNPROMOTED conditional branch; geometric response not independently forced by clarified UDT	No stability/content/genericity; full review and predecessor limits remain	udt_nonlinear_ripple_geometry_2026-09-09/REVIEWED_RESULT.md
OTHER_DESCENDANTS	Not individually adjudicated in this bounded audit	Exact source dependencies must be checked before use	No chronological blanket clearance, invalidation or automatic regrading	This table is not complete transitive dependency closure	CURRENT_RESEARCH_PROGRAM.md is navigation only
