id	stratum	free_data	classification_question
A00	FULL_GL2_PLUS	P_smooth_det_positive	full_orientation_preserving_screen_family
A01	ISOTROPIC_SCREEN	v_zero_u_chi_free	trace_and_gauge_rotation_only
A02	FIXED_AXIS_SHEAR	v_nonzero_beta_constant	two_eigenvalue_response_one_displayed_shear_axis
A03	ROTATING_AXIS_SHEAR	v_nonzero_beta_variable	both_displayed_shears_and_axis_transport
A04	PURE_COFRAME_GAUGE	h_fixed_chi_variable	metric_unchanged_connection_rotation
A05	FULL_POLAR_GENERIC	u_v_beta_chi_variable	all_coframe_response_components
A06	GL2_MINUS	fixed_reflection_times_GL2_plus	orientation_reversed_same_metric_class
A07	DET_ZERO_BOUNDARY	detP_zero	rank_signature_metric_degeneracy
A08	SPACELIKE_SLICE_POSITIVE	exp_2phi_minus_alpha2_exp_minus2phi_positive	complete_Riemannian_spatial_slice
A09	SLICE_NULL_BOUNDARY	exp_2phi_minus_alpha2_exp_minus2phi_zero	slice_degeneracy_four_metric_regular
A10	SLICE_INDEFINITE	exp_2phi_minus_alpha2_exp_minus2phi_negative	stationary_Lorentz_metric_nonspacelike_t_slice
A11	OTHER_FC_DESCENT	FC01_to_FC12	actual_coframe_join_or_blocked_requirement
