completion_id	topology_family	parent_selection_status	general_screen_status	exact_requirement	physical_selection
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	REGISTERED_ALTERNATIVE	BLOCKED_NO_ACTUAL_GENERAL_SCREEN_METRIC_AND_JOINS	cap_boundary_profiles_smooth_chart_and_pair_join	NONE
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	REGISTERED_ALTERNATIVE	BLOCKED_NO_ACTUAL_GENERAL_SCREEN_METRIC_AND_JOINS	cap_boundary_profiles_smooth_chart_and_pair_join	NONE
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	REGISTERED_ALTERNATIVE	BLOCKED_NO_ACTUAL_GENERAL_SCREEN_METRIC_AND_JOINS	cap_boundary_profiles_smooth_chart_and_pair_join	NONE
FC04_TWO_CAP_P1	S3	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES	CONSTRUCTIVE_S3_GENERAL_SCREEN_WITNESS	global_left_invariant_frame_and_smooth_GL2_P	NONE
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	REGISTERED_ALTERNATIVE	CONDITIONAL_LENS_QUOTIENT_DESCENT	deck_equivariance_of_phi_pair_and_h_or_O2_coframe_transitions	NONE
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	RETAINED_MATHEMATICAL_BRANCH	BLOCKED_NO_ACTUAL_GENERAL_SCREEN_METRIC_AND_JOINS	cap_boundary_profiles_smooth_chart_and_pair_join	NONE
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN	CONDITIONAL_TRANSITION_DESCENT_ONLY	monodromy_or_lift_equivariance_of_h_and_O2_screen_transitions	NONE
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	MULTIPLE_REGISTERED_LIFTS	CONDITIONAL_TRANSITION_DESCENT_ONLY	monodromy_or_lift_equivariance_of_h_and_O2_screen_transitions	NONE
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED	CONDITIONAL_TRANSITION_DESCENT_ONLY	monodromy_or_lift_equivariance_of_h_and_O2_screen_transitions	NONE
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	RETAINED_NOT_FILTERED	NOT_COVERED_BY_GL2_INTERIOR	rank_change_requires_beyond_invertible_screen_and_may_need_other_full_metric_blocks	NONE
FC11_NONINTEGRABLE_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	RETAINED_NOT_TORIC_ORBIT	PROPERTY_REALIZED_INSIDE_S3_WITNESS_NOT_SEPARATE_METRIC	contact_screen_distribution;completion_class_overlap_retained	NONE
FC12_RECIPROCAL_TORIC_DIAGONAL	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	CONDITIONAL_CONTROL_NOT_SELECTED	BLOCKED_NO_ACTUAL_GENERAL_SCREEN_METRIC_AND_JOINS	cap_boundary_profiles_smooth_chart_and_pair_join	NONE
