claim_id	claim	status	premise_scope	remaining_open
S01	P_in_GL2_has_three_screen_metric_DOF_and_one_local_O2_coframe_gauge_DOF	DERIVED	stationary_block_screen_family	full_metric_off_blocks_and_time_dependence
S02	polar_v_zero_rank_loss_is_chart_only_and_both_shear_tangents_exist	DERIVED	regular_logH_coordinates	physical_screen_selection
S03	anisotropic_P_conjugates_the_S3_angular_generator_into_rotation_plus_two_shears	DERIVED	registered_Maurer_Cartan_screen	physical_interpretation_and_dynamics
S04	smooth_P_in_GL2_gives_global_nondegenerate_complete_cell_configuration_on_S3	DERIVED	CHOSE_EXISTENCE_CONTROL_S3;complete_means_global_spatial_configuration	Lorentzian_geodesic_completeness_and_other_topologies
S05	positive_compact_t_slice_is_Riemannian_geodesically_complete	DERIVED	positive_slice_stratum_only	zero_negative_strata_and_spacetime_completeness
S06	full_stationary_spatial_first_jet_Cartan_connection_is_exact	DERIVED	E0P_zero_by_stationarity;E1_E2_E3_free	nonstationary_first_jets_and_higher_jets
S07	aligned_null_pregeodesic_condition_is_p2_equal_p3_equal_zero	DERIVED	registered_S3_pair_and_general_screen	global_existence_of_nonconstant_aligned_phi
S08	general_P_cannot_make_pair_screen_split_Levi_Civita_parallel	DERIVED	registered_twisted_S3;kappa_nonzero;finite_phi;detP_nonzero	other_complete_coframes_topologies_or_nonblock_metrics
S09	FC04_S3_has_constructive_general_screen_witness	OBSERVED	CHOSE_EXISTENCE_CONTROL;off_shell	on_shell_or_physical_selection
S10	other_FC_completion_classes_have_only_explicit_descent_or_join_gates	OPEN	FC01_to_FC12_taxonomy	actual_metrics_and_joins
S11	stationary_general_screen_family_is_selected_UDT	OPEN	no_selector_loaded	metric_native_selector
S12	action_source_carrier_density_bootstrap_boundary_scale_matter	OPEN	not_loaded	all_physical_closure
S13	full_generic_ten_component_spacetime_metric	OPEN	direct_pair_screen_metric_offblocks_dropped	general_coframe_or_metric_extension
S14	time_live_general_screen_behavior	OPEN	stationarity_pinned	E0P_and_native_evolution_equations
