id	object	status	role	open_or_dropped
P01	founded_phi_pair_action	pinned-by-THEORY	clock_ruler_sector	physical_path_profile_dynamics_open
P02	c_E_observational_anchor	pinned-by-THEORY	clock_scale	no_new_scale_selection
P03	R_times_S3_stationary_twisted_family	pinned-by-CHOSE_EXISTENCE_CONTROL	constructive_global_base	not_selected_universe_or_on_shell
P04	global_left_invariant_sigma123	pinned-by-CHOSE_EXISTENCE_CONTROL	global_coframe_trivialization	other_completion_frames_open
P05	P_in_GL2R_smooth	free-and-explored	complete_screen_coframe_family	direct_pair_screen_metric_off_blocks_dropped
P06	detP_sign	free-and-explored	orientation_components	det_zero_retained_degeneracy
P07	u_area_function	free-and-explored	screen_area	field_equation_open
P08	v_shear_magnitude	free-and-explored	shear_shape	field_equation_open
P09	beta_shear_axis	free-and-explored	shear_orientation	undefined_at_v_zero_is_chart_only
P10	chi_coframe_gauge_angle	free-and-explored	frame_gauge	no_metric_mode_claim
P11	alpha_shift_twist	free-and-explored	pair_screen_connection_control	no_physical_value_selected
P12	phi_and_P_spatial_first_jets_E1_E2_E3	free-and-explored	Cartan_response	E0_derivative_pinned_zero_by_stationarity_and_arbitrary_higher_jets_open
P13	spacelike_slice_sign	free-and-characterized	causal_strata	zero_negative_not_filtered
P14	FC01_to_FC12	free-and-retained	completion_taxonomy	no_missing_metric_silently_supplied
P15	stationarity	pinned-by-CHOSE_EXISTENCE_CONTROL	bounded_dynamical_class	nonstationary_time_live_open
P16	metric_action_source_carrier_density_bootstrap	pinned-by-SCOPE_NONE	not_loaded	all_open
P17	pre_July_physics	pinned-by-PROVENANCE_FIREWALL	method_only	no_affirmative_UDT_physics
P18	fresh_adversarial_verifier	pinned-by-METHOD	maximum_evidence_gate	verdict_may_reduce_grade
