criterion	covered_now	dropped_or_open
FIELDS	founded pair plus every smooth invertible 2x2 screen coframe P and all first jets	direct pair-screen metric off-blocks independent matter and generic 10-metric open
ACTION_TERMS	none; geometric existence atlas only	all action and variation terms open
FULL_EQUATIONS	none; off-shell identities and configurations only	native field equations and on-shell selection open
DOMAIN_COORDINATES	global stationary R_times_S3 control with arbitrary S3 dependence	other actual completion charts and time dependence open
BOUNDARY_REGULARITY	compact S3 smoothness plus all FC descent cap seam inputs explicitly stamped	no missing boundary completion invented
TOPOLOGICAL_SECTOR	S3 constructive control and all twelve FC types retained as taxonomy	no topology selected and most lack actual metrics
DYNAMICAL_CHARACTER	stationary off-shell configuration family	time-periodic and dynamic branches open
BRANCH_BIFURCATION	all preregistered GL2 polar orientation slice and degeneracy strata	unregistered complete spacetime branches open
STABILITY_SPECTRUM	not tested and explicitly open	all persistence and stability claims open
REGIME_VALIDITY	smooth finite stationary block-screen complete S3 family and stated descent gates	arbitrary metric higher jets dynamics matter and physical selection open
