claim	status	scope_or_guard
G317 landing	EXTERNALLY_ACCEPTED_BOUNDED__NO_SCIENTIFIC_DEFECT	fresh reviewer authenticated 34 payloads and reran four checks
active equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_PLUS_DERIVED_CONDITIONAL_BIANCHI_COMPLETION	bounded G312/G313 vacuum arena
conformal method	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	construction chart not new dynamics
flat marked T3	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not preferred topology
constant psi p	FREE_PARAMETER_IN_CHOSEN_SLICE	not calibrated physical scale
smooth nonconstant tau(x)	FREE_FUNCTION_IN_CHOSEN_SLICE	arbitrary periodic profiles retained
vector solution	DERIVED_WITH_KERNEL_FREEDOM	w'=p^6(tau-mu)/2 modulo constant
TT mean interlock	DERIVED_WITHIN_ANSATZ	alpha=2p^6mu/3
connected scalar interlock	DERIVED_WITHIN_ANSATZ	Lambda=-q^2 not global sign selection
physical data	DERIVED_CONDITIONAL_LAWFUL	gamma=p^4delta K-mixed=diag(tau,q,-q)
q=0 subclass	DERIVED_ZERO_INITIAL_WEYL	local flatness conditional on local uniqueness
q nonzero subclass	DERIVED_NONZERO_ELECTRIC_WEYL	invariant tidal witness
q sign	DERIVED_AXIS_RELABELLED	y-z swap in chosen symmetric domain
general non-CMC solution space	OPEN_OMITTED	nonconstant psi nonflat nondiagonal and boundaries outside
physical data or history selection	OPEN_NOT_ATTEMPTED	family characterization only
external provenance scope	VERIFIED_WITH_PROTOCOL_LIMIT	sealed intake authenticated; Git ancestry not independently reconstructed
metric reciprocal kernel angular observations	UNCHANGED	construction remains upstream
source matter mass action fit scale X_max	OPEN_OMITTED	no import or selection
