item	status	role	maximum_consequence
complete Lorentzian metric	pinned-by-THEORY__G296_G312	primitive local geometry	data are metric hypersurface germs
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	bounded response postulate	not derived and not canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response constitution	not a selected GR solution
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	local finite-jet response	hidden remote-history local response excluded
Ric_ab=Lambda g_ab and dLambda=0	pinned-by-THEORY__BOUNDED_G312_G313	active conditional vacuum equation	one connected scalar sector and multibranch solutions
G315 constraints	DERIVED_CONDITIONAL	direct physical test	constrain supplied data without selecting them
G316 conformal construction	EXTERNALLY_ACCEPTED_CONDITIONAL_MATHEMATICAL_METHOD	construction chart	no new UDT physics or global theorem
flat marked three-torus	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	exact compact test domain	not preferred topology or global universe
dimensionless 2 pi coordinate period	CHOSE_MATHEMATICAL_NORMALIZATION	Fourier bookkeeping	not a clock ruler distance or physical scale
constant positive conformal factor p	free-and-explored	bounded exact family parameter	not selected or calibrated
one-coordinate smooth periodic nonconstant tau	free-and-explored	mean-curvature function	classify all Fourier profiles in the ansatz
constant diagonal TT seed	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	retained transverse channel	not a native matter or anisotropy law
longitudinal W=w(x) partial_x	SOLVED_IF_SOLVABLE	vector-constraint unknown	nonunique modulo conformal-Killing kernel
Lambda	SOLVED_WITHIN_FAMILY_OR_OPEN_GLOBALLY	connected sector value	family relation is not global sign selection
lapse shift evolution gauge	OMITTED_OPEN	not constraint data	no development-gauge selection
nonconstant psi general TT nonspherical boundaries asymptotics	OMITTED_OPEN	outside bounded ansatz	no full non-CMC theorem
source matter mass action observation fit scale physical X_max	OMITTED_OPEN	forbidden inputs	no selection or calibration
protected local packages	OMITTED_PROTECTED	not inspected	no dependency
