epsilon	source_clock	emission_t	arrival_t	arrival_clock	R	area	width_max	width_min	shape	full_flight	frozen_flight	frozen_area	frozen_shape	arrival_sky_contrast_deg	endpoint_residual
-0.5	0.0	1.0	4.1291250217942	2.068042956265081	1.8445667850416283	8.864536011266598	3.7535545679238687	2.36163770923135	1.5893862776884395	3.1291250217942004	2.1050204538462594	2.4925000000000024	1.0000000000000004	10.663883612761289	5.329070518200751e-15
-0.5	0.4	1.5519722798814224	5.2389447934462625	2.7921182013780843	1.777661276921587	11.163891799451891	3.828352683274987	2.916108499675028	1.3128293010022158	3.6869725135648403	2.6055838679629053	3.161630036266366	1.0653991125056141	10.489041582285243	1.3744561044859438e-13
-0.5	0.8	2.136919631929974	6.354315974350546	3.499963871618421	1.7787524385965827	14.474938389919526	4.405181355084108	3.285889325127037	1.3406359494210285	4.217396342420572	3.091189954885129	4.072294773411731	1.1421823501510846	5.783210505409654	7.105427357601002e-15
-0.5	1.2	2.751397381059669	7.451453670075243	4.225838693962125	1.8524359912564958	19.58550703533487	5.480949769891824	3.5733783117157487	1.533828576706215	4.700056289015574	3.5373190038569895	5.367515012591803	1.1876401716449019	7.761433351570194	4.440892098500626e-16
0.0	0.0	1.0	4.779279105183618	2.2323754172348615	2.039187828328929	12.304961427954755	4.019395816364821	3.061395789351116	1.3129291646464176	3.779279105183618	2.1050204538462594	2.4925000000000024	1.0000000000000004	6.087448361288693	1.6653345369377348e-13
0.0	0.4	1.5661645189139555	6.409812878376728	3.0284132292161017	1.9452414422031337	15.717647013556492	4.443639428553248	3.5371112499723716	1.2562905474313135	4.843648359462772	2.779384424252568	3.472170757161639	1.0000000000000004	4.055439619590622	6.661338147750939e-16
0.0	0.8	2.189592718406427	8.077844905584413	3.7915015486689003	1.8732774352599797	19.190111215476442	4.839637383273848	3.9651960871694456	1.220529143296069	5.8882521871779865	3.4809194187743007	4.606051571247739	1.0000000000000004	2.9051345499234533	7.771561172376096e-16
0.0	1.2	2.8613011830730675	9.776993629753534	4.529094327595694	1.816829338110734	22.708267670052823	5.210281585866634	4.358357086045229	1.195469183227123	6.915692446680467	4.19601927757463	5.854848869173709	1.0000000000000004	2.1964499819331547	6.661338147750939e-16
0.5	0.0	1.0	4.627708161432393	2.396323109789025	2.1926490870285216	17.233121512808243	4.630326187789862	3.721794278392712	1.2441112650077766	3.627708161432393	2.1050204538462594	2.4925000000000024	1.0000000000000004	20.515579853754538	4.440892098500626e-16
0.5	0.4	1.5519722798814224	5.8404353852271464	3.174069130165975	1.7403543622160245	16.540556407750184	4.164486301294082	3.9718119381519723	1.048510444638967	4.288463105345724	2.831727624635473	3.471295921935729	1.0749310819332794	8.677590895056598	1.1102230246251565e-15
0.5	0.8	2.136919631929974	6.844363888625389	3.8171022888865043	1.5040632013864899	15.548917667700128	4.553130038753087	3.4149952967208304	1.333275639683933	4.707444256695415	3.5321671667356203	4.460782298987595	1.1316742067751928	8.4789265112873	1.5543122344752192e-15
0.5	1.2	2.751397381059669	7.698281954627964	4.39764015168239	1.4195233225398907	15.206869210449025	4.863899639025497	3.1264767653585444	1.5557127092443641	4.946884573568295	4.074148613711294	6.085319481620459	1.0716430040424698	20.198132081345364	1.056932319443149e-13
