item	status	scope
G183_LANDING	DERIVED_CONDITIONAL	PAIR_STRATA_SEPARATED__REGULAR_MULTIBRANCH_KERNEL_REMAINS_BRANCH_LABELLED
NULL_CURVE	DERIVED	does_not_break_regular_pair_plane
NULL_CLOCK	DERIVED_CONDITIONAL	clock_chart_failure_not_intrinsic_plane_degeneracy
NULL_PLANE	DERIVED	tangent_rank_two_but_induced_metric_rank_one
SPACELIKE_PLANE	DERIVED	tangent_rank_two_but_no_observer_clock
TIMELIKE_DET_ZERO	DERIVED	iff_pair_tangent_rank_loss
FOCAL_CAUSTIC	DERIVED_CONDITIONAL	failure_only_when_actual_sampled_query_differential_loses_rank
CUT_CROSSING	DERIVED_CONDITIONAL	may_leave_each_branch_regular
WINDING	DERIVED_CONDITIONAL	branch_label_survives_scalar_and_local_metric
PHYSICAL_BRANCH	OPEN	not_selected
HOLONOMY	OPEN_SEPARATE_OUTPUT	not_derived_or_scalarized
GLOBAL_COMPLETION	OPEN	not_tested
XMAX_OBSERVATION_DYNAMICS_SOURCE	OPEN_INACTIVE	not_load_bearing
EXTERNAL_REVIEW	REPAIR_REQUIRED	default_verifier_write_only_scientific_landing_not_rejected
