active_remaining	crossed_vertices	degree_signed_area_estimate	directions_with_turns	face_maps_resolved	faces	initial_max_abs_hamiltonian	level	max_abs_hamiltonian	max_face_shear_ratio	max_face_smax	max_signed_area_ratio	maximum_turn_count	median_face_shear_ratio	min_face_smin	min_signed_area_ratio	missing_vertices	near_area_1e2	near_area_1e3	near_area_1e4	negative_faces	negative_intrinsic_face_maps	nonfinite_count	p95_face_shear_ratio	profile_id	steps	valid_faces	vertices
0	162	1.0000000000000002	73	320	320	3.885780586188048e-16	2	6.005640429407322e-12	1.0710137330732463	1.2596309539063348	1.5802594073530989	1	1.0393990745045234	0.7575458118288936	0.5754791107195715	0	0	0	0	0	0	0	1.0640347208943868	G75_F01_AM	1024	320	162
0	642	1.0	305	1280	1280	3.885780586188048e-16	3	6.0359495179795886e-12	1.0483546865213293	1.2598434005881052	1.5856318675213925	1	1.0233343760044527	0.7563278985408226	0.5724301140287522	0	0	0	0	0	0	0	1.0436087455215652	G75_F01_AM	1024	1280	642
0	2562	1.0	1249	5120	5120	3.885780586188048e-16	4	9.871226058777438e-11	1.0366047903841553	1.259873568528529	1.586889883511542	1	1.0184090884181818	0.7560283562819177	0.571678266227767	0	0	0	0	0	0	0	1.0330831297325327	G75_F01_AM	512	5120	2562
0	2562	1.0	1249	5120	5120	3.885780586188048e-16	4	6.0359495179795886e-12	1.0366044040826117	1.2598735683381175	1.5868898830321907	1	1.0184089076725873	0.7560283565316395	0.5716782665764115	0	0	0	0	0	0	0	1.0330826814823033	G75_F01_AM	1024	5120	2562
0	162	1.0	73	320	320	1.1102230246251565e-16	2	1.1102230246251565e-16	1.0797924970132036	1.250277586286409	1.5571312847284593	1	1.0402887390855773	0.7518712451449063	0.5669120959138912	0	0	0	0	0	0	0	1.0703792321483268	G75_F01_A0	1024	320	162
0	642	1.0	305	1280	1280	1.6653345369377348e-16	3	1.6653345369377348e-16	1.0567701464493575	1.2500936604537298	1.5612494835600992	1	1.027157211291997	0.7504641954161141	0.5635919946545475	0	0	0	0	0	0	0	1.051050196557958	G75_F01_A0	1024	1280	642
0	2562	1.0	1249	5120	5120	1.6653345369377348e-16	4	1.6653345369377348e-16	1.0448543810734277	1.2500249329481403	1.5621931296695277	1	1.0233823433928406	0.7501158229737697	0.5627723118804313	0	0	0	0	0	0	0	1.040288558834249	G75_F01_A0	512	5120	2562
0	2562	1.0	1249	5120	5120	1.6653345369377348e-16	4	1.6653345369377348e-16	1.0448539132059897	1.2500249327654986	1.562193129213338	1	1.0233822964182342	0.750115823054077	0.5627723120096546	0	0	0	0	0	0	0	1.040287724802915	G75_F01_A0	1024	5120	2562
0	162	1.0	73	320	320	2.7755575615628914e-16	2	4.856115509710435e-13	1.088510020925375	1.2411296209647051	1.5346704987673905	1	1.0417967646018957	0.7463088252483588	0.5585965142888571	0	0	0	0	0	0	0	1.0776588760388548	G75_F01_AP	1024	320	162
0	642	1.0	305	1280	1280	3.3306690738754696e-16	3	4.86166662483356e-13	1.065123132233891	1.2405668345764678	1.5376056128983078	1	1.031245427917494	0.744729960548328	0.5550226485865493	0	0	0	0	0	0	0	1.0586511179587956	G75_F01_AP	1024	1280	642
