item	status	provenance	open_scope
reciprocal_cE_calibration	OBSERVED	foundational UDT clock/ruler calibration; dimensionless c_E=1 is a unit choice	not a local signal speed or profile selector
stationary_axial_metric_envelope	CHOSE_CONTROL	G75 preregistered bounded control metric	generic ten-function complete coframe and time-live orchestra excluded
G75_profile_universe	PINNED_BY_THEORY_OF_TEST	all 591 externally verified frozen rows	all smooth center-regular profiles excluded
positive_ray_representative	CHOSE_CONTROL	G75 projective sign quotient with exact psi reflection	physical orientation unselected
observer_start_x_1_over_4	PINNED_BY_HISTORICAL_CONTROL	identical G74 query	not a physical observer radius
endpoint_x_1	PINNED_BY_HISTORICAL_CONTROL	identical G74 first-crossing query	not last scattering Xmax or a seal
complete_initial_direction_sphere	PINNED_BY_QUERY	whole observer-sky relation requested	physical source population absent
affine_cap_4	CHOSE_NUMERIC	bounded integration control	rows not reaching endpoint are retained as classifications
icosphere_levels_2_3_4	CHOSE_NUMERIC	mesh convergence control	continuum sphere inferred only within convergence evidence
RK4_steps_512_1024	CHOSE_NUMERIC	time-step convergence control	runtime never used as scientific gate
source_state	OPEN_NO_OWNER	not supplied	no populated sky or power spectrum
screen_parallel_transport	OPEN_NO_OWNER	not included in endpoint-map tangent singular values	G72 polar rotation and polarization remain open
global_scale_R	POSITIVE_SYMBOLIC_NOT_SELECTED	angular relation invariant under common positive units	universe size and Xmax remain open
bootstrap_action_matter	INACTIVE_OPEN	forbidden as selectors in G76	no dynamics or matter conclusion
