element	status	exact_condition	source_check	notes
Q (upper-right block)	FORCED = 0	top block-row of J v must vanish for all v in V	TC_Q_block_zero_forced	necessity by C/K probes; Route-B probe method
P (base block)	FORCED anti-diagonal antidiag(p,1/p) after pq=1 gauge	-P H P^-1 = H <=> PH + HP = 0	TC_P_antidiagonal_forced	reproduces banked 07-20 F_b family in-class; p = free family parameter (SUPPLIED calibration)
S (screen block)	FORCED lower-triangular; involution splits branches	(S K S^-1) lower-tri for all lower-tri K; S^2 = pq I	TC_S_lower_triangular_forced; TC_involution_and_realness	branch (a) S = +/-I; branch (b) S = [[s0,0],[s1,-s0]], s0=+-1, s1 free (SUPPLIED: the banked-open angular completion)
R (base->screen mixing)	FREE on a 2-dim branch space	RP + SR = 0 (from J^2 scalar); class-preservation does not constrain R	TC_R_unconstrained_and_blocks_exact; TC_R_solution_space_dim_2_per_branch	SUPPLIED; R=0 contains the V5 member; R shifts the C fixed values (affine)
J^2	FORCED scalar, = pq I with pq > 0	commutant of class = scalars; realness of lower-tri S	S0_class_commutant_is_scalars; TC_involution_and_realness	no real J^2 = -I branch; scale gauge -> pq = 1
Lorentz membership	EMPTY in the registered diagonal eta2 readout (A4 readout stamp)	P^T eta2 P = diag(q^2,-p^2) != eta2 over the reals	TC_no_lorentz_dressing_exists	EVERY compatible dressing is non-Lorentz IN THE REGISTERED DIAGONAL eta2 READOUT (generalizes banked F fact); banked 07-20 caveat travels: under the ADDITIONAL null-coordinate choice of K as metric, every F_b is an exact O(1,1) reflection — the EMPTY verdict is readout-scoped
eps_lambda	DERIVED -1 (dressing-independent)	tr(-J X J^-1) = -tr X for any invertible J	TP3_trace_similarity_generic_J	needs only P0 (canon fold) + P1 (L0)
eps_kmod	DERIVED -1 under P2 (chart-representability)	diag(S K S^-1) = diag K for lower-tri S	TP3_lambda_kmod_odd_family_uniform; TP3_chart_escape_witness_kmod	chart-escape witness J_out = diag(F2,F2) shows P2 is load-bearing
eps_k10	CONSTRAINED (branch-split)	branch (a): -1; branch (b): +1 with 2(s1/s0)k_mod shear	TP3_k10_branch_split	missing datum = screen/angular completion (07-20 MULTIPLE_COMPLETIONS)
eps_C	CONSTRAINED (signature forced 2 odd + 2 even)	charpoly of C |-> -S C P is (x-1)^2(x+1)^2 in every branch	TP3_C_signature_2odd_2even_forced; TP3_C_basis_p_dependent	WHICH combinations odd = supplied (p, branch, R); odd space at S=+I is mu_i+ = p c_i0 + c_i1
fixed locus branch (a)	k00=k11=k10=0; 2 C-conditions (dim 2)	J X + X J = 0	TP4_fixed_locus_branch_a	at F member = banked T5 swap cell (K=0, (c00,c10)=(-c01,-c11))
fixed locus branch (b)	k00=k11=0; k10 FREE; 2 C-conditions (dim 3)	J X + X J = 0	TP4_fixed_locus_branch_b	k10 dial survives the fold on branch (b) only
V5 swap F	ADJUDICATED: family member (p=1, S=+I, R=0), premise NOT forced	distinct compatible members exhibited	TC_V5_adjudicated_inside_family	its lambda/k_mod parities hold family-wide; its k10/C action is member-specific
AMENDMENT 2026-07-29	A1-A4 applied post-verifier	see CORRECTION_LAYER.md + VERIFIER_REPORT.md	A1_aFprime_vs_aF_distinction; ADOPTED_* (verifier-credited)	A1: check-25 pairing prose corrected (a_F' = 0 criterion vs a_F = 0 value; landing = certificate-premise failure, UNCERTIFIED not refuted); A4: Lorentz row eta-readout-stamped, per-branch parameter counts, -k10 sign; A3: verifier mutation set + K4 leg + H-block lemma adopted as checks
