family_id	name	source_provenance	source_disposition	ambient_regular_geometry	physical_CMB_pair_query	terminal_kappa_phi_beta	angular_screen_geometry	observer_sky_Jacobi_map	ambient_transport	normal_transport	spectral_operator	mode_population_or_source	TT_position_readout	TT_power_prediction	polarization_prediction	Xmax_role	family_rank
F00	EQUATORIAL_C0_PROVENANCE	OBSERVED_BOUNDED_SLICE	RETAIN_CONTROL_NO_NEW_SOLVE	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	PARTIAL_EQUATORIAL_SLICE_ONLY	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	C0_SCALAR_ROOTS_SOLVED_CONDITIONALLY	OPEN_NONE_FROM_METRIC_ALONE	ATTRIBUTED_TWO_PARAMETER_COMPATIBILITY_ONLY	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F01	SPHERICAL_ROUND_NO_MIX	CHOSE_DERIVED_LIMIT	CONDITIONAL_RADIAL_CONTROL	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	ROUND_SO3_CONTROL	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	ROUND_CONTROL_OPERATOR_NO_SELECTED_BOUNDARY	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F02	SPHERICAL_ROUND_AXIAL_MIX	CHOSE_CONDITIONAL_C1	COUPLED_R_THETA_BASIS_REQUIRED	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_COMPLETE_C1_SCREEN	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	C1_COUPLING_MATRICES_ONLY_NO_EIGENSOLVE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F03	SPHERICAL_AXISYMMETRIC_FULL_SCREEN_ENVELOPE	CHOSE_MATHEMATICAL_ENVELOPE	PROFILE_FAMILY_OPEN_NO_SOLVE	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	GENERAL_SCREEN_ENVELOPE_NO_SELECTED_PROFILE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	OPERATOR_FORM_ONLY_NO_PROFILE_OR_SOLVE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F04	SPHERICAL_NONAXISYMMETRIC_FULL_SCREEN_ENVELOPE	CHOSE_MATHEMATICAL_ENVELOPE	PROFILE_FAMILY_OPEN_NO_SOLVE	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	GENERAL_SCREEN_ENVELOPE_NO_SELECTED_PROFILE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	OPERATOR_FORM_ONLY_NO_PROFILE_OR_SOLVE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F05	S3_ISOTROPIC_PARENT	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F06	S3_AREA_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F07	S3_DIAGONAL_SHEAR_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F08	S3_OFFDIAGONAL_SHEAR_ONLY	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F09	S3_BOTH_SHEARS	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F10	S3_FULL_SCREEN	CHOSE_CONDITIONAL_COMPLETE_CONTROL	GLOBAL_CONTROL_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F11	S3_SLAVED_OR_CONSTANT_CONTROLS	CHOSE_CONDITIONAL_COMPLETE_CONTROL	CONTROL_STRATA_RETAINED	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F12	S3_HOMOGENEOUS_SYMMETRY_ENHANCED	CHOSE_CONTROL	SYMMETRY_CONTROL	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F13	S3_TWIST_FREE_FULL_SCREEN	CHOSE_CONTROL	PROJECTOR_BLOCK_CONTROL	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F14	S3_CAUSAL_NULL_SIGN_CONTROLS	CHOSE_CONTROL	CAUSAL_STRATA_CONTROL	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	CONDITIONAL_S3_CONTROL_NO_WRL_SPLICE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F15	S3_DEGENERATE_SCREEN	CHOSE_CONTROL	NO_INVERSE_NO_SOLVE	NOT_REGULAR_DEGENERATE	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	DEGENERATE_SCREEN_NO_INVERSE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F16	S3_GLOBAL_NON_TORIC_FULL_SCREEN	DERIVED_AVAILABILITY_COUNTEREXAMPLE	GLOBAL_SYMMETRY_COUNTERCONTROL	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	GLOBAL_NON_TORIC_AVAILABILITY_COUNTERCONTROL	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	NO_AUTHORIZED_WRL_S3_CMB_OPERATOR_SPLICE	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
F17	GENERAL_QAB_BA_OPERATOR_ENVELOPE	CHOSE_ORGANIZATION_DEVICE	ALGEBRA_ONLY	CONDITIONAL_OR_CONTROL_ONLY	OPEN_NOT_SUPPLIED	OPEN_UNTIL_CMB_PAIR_IMMERSION_IS_SUPPLIED	GENERAL_POSITIVE_SCREEN_ALGEBRA_ENVELOPE	OPEN_NOT_SUPPLIED	CONDITIONAL_AFTER_PATH_NOT_SELECTED	OPEN_UNTIL_PAIR_IMMERSION_IS_SUPPLIED	ALGEBRA_ONLY_NO_PHYSICAL_COMPLETION	OPEN_NONE_FROM_METRIC_ALONE	NOT_PERFORMED	OPEN	OPEN	ASYMPTOTIC_GUARD_ONLY_NOT_SELECTOR	UNRANKED
