layer_id	object	mathematical_home	required_for	current_owner	what_is_banked	status
Q00	ORDERED_OBSERVER_SKY_QUERY	typed_observer_event_frame_and_celestial_screen	all_CMB_observables	OPEN_PHYSICAL_CMB_QUERY	query_architecture_only	OPEN
Q01	REGULAR_BRANCH_REALIZATION	query_indexed_pair_immersion_or_correspondence	connect_remote_pattern_to_observer	NO_F00_F17_FAMILY_SUPPLIES_A_CMB_PAIR_IMMERSION	conditional_ambient_metric_families	OPEN
Q02	TERMINAL_PAIR_METRIC	first_fundamental_form_h_equal_F_pullback_g	kappa_phi_beta_pair_state	DERIVED_ONCE_F_IS_SUPPLIED	exact_terminal_decomposition	DERIVED_CONDITIONAL
Q03	PAIR_CONE_READOUT	terminal_pair_metric	inter_observer_clock_ruler_ratio	c_eff_pair_over_c_E_equal_exp_minus_2_phi_pair	conditional_pair_readout_not_local_speed	CONDITIONAL
Q04	OBSERVER_SKY_ANGULAR_MAP	screen_Jacobi_or_equivalent_query_map	remote_scale_to_observed_multipole	OPEN_FOR_PHYSICAL_CMB_QUERY	conditional_screen_geometries_and_separate_Jacobi_controls	OPEN
Q05	AMBIENT_TRANSPORT	path_groupoid_functor_after_path_is_supplied	carry_complete_frame_or_orientation_sensitive_data	METRIC_CONDITIONAL_ON_PATH	no_physical_CMB_path	CONDITIONAL_PATH_ONLY
Q06	NORMAL_SCREEN_TRANSPORT	normal_bundle_of_supplied_pair_immersion	polarization_and_screen_orientation_memory	OPEN_FOR_PHYSICAL_CMB_QUERY	conditional_normal_transport_on_non_CMB_query_controls	OPEN
Q07	CONDITIONAL_MODE_OPERATOR	chosen_scalar_operator_domain_and_boundary_realization	candidate_mode_locations	C0_SOLVED_C1_MATRIX_ONLY_GENERAL_SCREEN_FORM_ONLY	scalar_controls_not_native_dynamics	CHOSE_CONDITIONAL
Q08	MODE_TO_MULTIPOLE_PROJECTION	observer_sky_evaluation_map	TT_peak_position_comparison	RA2_TWO_PARAMETER_AFFINE_DIAGNOSTIC_ONLY	attributed_compatibility_not_prediction	CONDITIONAL_WEAK
Q09	STATE_SOURCE_COVARIANCE	mode_space_or_response_kernel	which_modes_have_nonzero_power_and_peak_heights	NONE_FROM_METRIC_ALONE	absence_explicitly_proved_in_mode_ownership_audit	OPEN
Q10	SCALAR_TEMPERATURE_SKY_FIELD	real_scalar_on_observer_celestial_screen	a_lm_and_C_ell_TT	OBSERVED_MAP_TYPE_BUT_NO_NATIVE_PREDICTION_LAW	published_peak_locations_only	OBSERVED_READOUT_OPEN_THEORY
Q11	POLARIZATION_SKY_FIELD	orientation_sensitive_screen_field	TE_EE_BB_channels	NONE	scalar_operator_only	OPEN
Q12	XMAX_ASYMPTOTIC_GUARD	observer_pair_positional_dilation_limit	global_branch_admissibility_only	WORKING_FRAME	not_local_wall_not_selector_not_value	WORKING
Q13	P1_SNE_COMPATIBILITY_ANCHOR	low_redshift_observer_pair_profile	cross_anchor_after_a_CMB_pair_profile_exists	CONDITIONAL_SNE_PAIR_ROLE_ONLY	must_not_be_copied_into_centered_CMB_lapse	CONDITIONAL
