id	object	status	role	prohibition
P01	c_E	OBSERVED	local_clock_ruler_calibration	not_signal_speed_or_path_selector
P02	reciprocal_character	DERIVED	on_supplied_ordered_depth	not_complete_query_owner
P03	complete_query_architecture	DERIVED_CONDITIONAL	query_to_regular_realizations_to_multichannel_evaluation	not_physical_query_selection
P04	c_eff_pair_ratio	CONDITIONAL	exp_minus_2_phi_pair_terminal_pair_cone_readout	not_local_material_speed
P05	co_presence	POSIT	whole_solution_interpretive_frame	not_signalling_or_branch_selection
P06	X_max	WORKING	observer_pair_positional_dilation_asymptote	not_centered_wall_or_local_boundary
P07	P1_SNe_profile	CONDITIONAL	low_redshift_pair_compatibility_anchor	not_centered_CMB_lapse
P08	C0_equatorial_scalar_probe	CHOSE	bounded_historical_spectral_slice	not_complete_angular_query
P09	C1_and_general_screen_envelopes	CHOSE	conditional_complete_angular_controls	not_selected_physical_screen
P10	D_N_wall_representatives	CHOSE	conditional_self_adjoint_controls	not_native_boundary_selection
P11	Planck_TT_peak_locations	OBSERVED_ATTRIBUTED	defines_historical_position_readout	not_family_selector_or_prediction
P12	mode_population_and_source_covariance	OPEN	needed_for_nonzero_angular_power	not_supplied_by_metric_spectrum
P13	polarization_source_and_transport	OPEN	orientation_sensitive_observable	not_in_scalar_TT_operator
P14	bootstrap_action_source_carrier	INACTIVE_OUT_OF_SCOPE	larger_physics_program	must_not_enter_this_map

