premise_id	object	status	pin_class	use_in_audit	excluded_promotion	controlling_source
JR-P01	founded reciprocal depth phi identity and pair action	DERIVED	pinned-by-THEORY	configuration identity and restriction compatibility	realized profile dynamics boundary or unique 4D extension	CURRENT_SCIENTIFIC_PREMISES.tsv G01-G02
JR-P02	measured c_E and G_obs	OBSERVED	pinned-by-OBSERVATION	dimensional anchors named without values	native equation X_max value or closure	CURRENT_SCIENTIFIC_PREMISES.tsv G06
JR-P03	strong local Common-Scale Neutrality	CHALLENGED_INACTIVE	pinned-by-current-correction	negative guard against pre-scale import	active Weyl gauge premise	CURRENT_SCIENTIFIC_PREMISES.tsv G05
JR-P04	complete four-dimensional phi/angular/mixing extension	OPEN	free-and-explored-by-source-census	gate object and branch census	unique spectator extension	CURRENT_SCIENTIFIC_PREMISES.tsv G08
JR-P05	P4 static/time/angular response modules	DERIVED+CHOSE+OPEN	free-and-explored across registered forks	formal restriction targets	one physical response law or on-shell solution	udt_p4_cold_adversarial_review_2026-08-01/PREMISE_QUANTIFIER_AUDIT.tsv
JR-P06	finite-cell construction	RATIFIED_PROGRAM_CONSTRUCTION	pinned-by-current-program	completion and boundary type census	owner bedrock or derived physical boundary	P4_ARC_SUMMARY_2026-07-31.md
JR-P07	mirror closure and seal posture	WORKING/CHOSE/OPEN	free-and-explored across closure posture	carry every boundary/completion branch	unique native closure	CURRENT_SCIENTIFIC_PREMISES.tsv G17-G18
JR-P08	differentiable finite-cell boundary action	OPEN	free-and-unresolved	required gate object	seal parity as complete boundary	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
JR-P09	complete native equation or response law	OPEN	free-and-unresolved	required gate object	formal pointwise response space as equation	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv
JR-P10	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	free-and-unresolved	global/local route census	local equation optimizer or selection theorem	CURRENT_SCIENTIFIC_PREMISES.tsv G12
JR-P11	S2 carrier and L2+L4 matter action	POSIT/CONDITIONAL	pinned-by-HYPOTHESIS	conditional comparison route only	native carrier action or matter emergence	CURRENT_SCIENTIFIC_PREMISES.tsv G09 and G15
JR-P12	complete native action source charge and mass	OPEN	free-and-unresolved	conditional-route scope guard	assumed closure	CURRENT_SCIENTIFIC_PREMISES.tsv G16
JR-P13	posture census pairing reading and topology forks	CHOSE+OPEN	free-and-explored across registered alternatives	all branches carried	one branch selected by convenience	P4_ARC_SUMMARY_2026-07-31.md
JR-P14	nonzero time-live and angular-live requirement	CHOSE_DIAGNOSTIC_DEFINITION	pinned-by-preregistered-question	exclude degenerate zero-mode witness	claim of physical dynamics	this preregistration
JR-P15	abstract finite-set and scalar controls	MATHEMATICAL_CONTROL	pinned-by-logic	underdetermination and quantifier controls	candidate UDT fields equations or physics	this preregistration
JR-P16	GR SM QM fluids and external mechanisms	FORBIDDEN_AFFIRMATIVE_IMPORT	pinned-by-PROTOCOL	comparison/readout only if explicitly tagged	native UDT derivation	AGENTS.md
JR-P17	CPU symbolic and source-census technique	CATEGORY_A	pinned-by-METHOD	verification and exact logic only	physics premise	CLAUDE.md allowed lane
