id	object	status	basis	limit
S01	static P4 realized content	EXACT_REDUCED_STATIONARY_SCOPES	representative/full-cell stationary packages	time-live excluded and complete physical ownership open
S02	time-live P4 content	FORMAL_EXACT_POINTWISE	T2 plus cold Q2	no response law or solve
S03	angular-live P4 content	FORMAL_EXACT_POINTWISE	A2/A3 plus cold Q2	nonzero on-shell coexistence unproved
S04	formal static/time/angular compatibility	DERIVED_IN_STATED_SCOPES	module pullback and mode-zero controls	not one nonzero joint solution
S05	complete native equation/response	OPEN	native-action adjudication	conditional bulks and reduced equations are not a complete problem
S06	differentiable finite-cell boundary/completion	OPEN	native-action boundary ledger and completion atlas	seal parity and typed completions are incomplete
S07	bootstrap realization	TYPE_SKELETON_ONLY	two-arrow response audits	maps fixed point and witness absent
S08	action-mediated joint realization	NO_COMPLETE_CONDITIONAL_WITNESS_REGISTERED	conditional action branches	no full nonzero-live equation-boundary witness
S09	carrier-mediated joint realization	STATIC_FINITE_BOX_CONDITIONAL_ONLY	native Hopfion topology and no-null stability	not a native metric field boundary or time-live history
S10	native joint-realization certificate JR_CERT_NATIVE	OPEN_TYPE_IDENTIFIED	gate nonredundancy and eight-route census	identification is not construction
S11	joint-realization audit outcome	FORMAL_COMPATIBILITY_ONLY_COMMON_REALIZATION_OPEN	zero of eight routes supplies JR_CERT_NATIVE	bounded registered-source result not a universal no-go
S12	native stability	CONDITIONAL_STABILITY_ONLY_UNCHANGED	parent stability-foundations audit	persistence join remains downstream and open
