current_path	artifact_type	r1c_first_commit_date	r1c_last_commit_date	r1c_primary_owner	r1c_ownership_evidence	introducing_commit	introducing_author_date	introducing_commit_date	introducing_subject	first_commit	first_commit_date	last_commit	last_commit_date
cascade_bv10_E2_period.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv10_E2_symbolic.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv10_E3_bottom.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv10_assembly.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv10_cas.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv10_reshoot.py	PYTHON	2026-07-02	2026-07-02	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	2026-07-02T20:49:47-04:00	theta0 DERIVED at second order (blind-verified) + the accumulation law DERIVED as the quantization closure	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00	add2f22217576fa96308c68bc459e8e271affddf	2026-07-02T20:49:47-04:00
cascade_bv11_lib.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v1_root.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v1_scan.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v1_tolcheck.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v2_desert.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v3_cap.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v4_cas.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv11_v5_product.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	2026-07-03T11:27:21-04:00	Ponder 1 CLOSED: twin = broken inversion; TWIN FUNDAMENTAL EXISTS (blind-verified); inner-seal charge cap = exact bound	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00	48b50d402960f92aaa345daee26ae7dd14dca0c0	2026-07-03T11:27:21-04:00
cascade_bv13_backgrounds.py	PYTHON	2026-07-03	2026-07-03	LEGACY_FROZEN	PRE_NATIVE_FAMILY+R0_HISTORICAL_EVIDENCE	4ee798243b0911bdd8360710aa84ca75aefae039	2026-07-03T13:59:49-04:00	2026-07-03T13:59:49-04:00	Stability operator DERIVED + BLIND-VERIFIED; counting convention pinned by theorem (bv13 caught a +-1 mix)	4ee798243b0911bdd8360710aa84ca75aefae039	2026-07-03T13:59:49-04:00	4ee798243b0911bdd8360710aa84ca75aefae039	2026-07-03T13:59:49-04:00
