role	path	sha256
review report	ADVERSARIAL_REVIEW_INITIAL.md	82afcc5763afa03b979f1e8c3e00fe2ef8fefc389881ab27cb01c1d4f7e51403
execution record	EXECUTION_RECORD.md	72a77753f3a02c07042150271348512b02b102c9233ba7c933e137405ec0101b
source-first seal	SOURCE_FIRST_REQUIREMENTS.md	10f8926f5acd170a4f90af9e140a95cec7a29fa52563c1490ddb182383b4f04c
initial candidate	../CANDIDATE_INITIAL.md	fb016f86187e5b7a29cb934ed8e0cff9a8984fddd181b13bbcdee4c9fb190c17
original author checker	../check_tensor.py	652b67bd0b09057e0d9c43269857bd1484d3aced8c5d848547ae9b71ea845620
repaired author checker	../check_tensor_repaired.py	3c4591000db6a2f673c6328b4778ca940fd9a3e82057c53031e8b3dc4589015d
independent checker	independent_tensor_check.py	409185f0d4f23e12dd5129eafeaf843cff3aa358458fc4fb86845b664373870c
independent result	independent_initial.stdout	a1c7146db7e1864f0f4a56944d9059fb7499b2838ad262040425fbe5a130499d
independent stderr	independent_initial.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
independent execution	independent_initial.json	1fdbc66e63dd8ab8f6cf556cabe626365c1c4f91216f6eaa08d80f727549b844
catchproof checker	guard_catchproof.py	2d4c60797d70a832c29c816707e68d447f5595bf81c3f6d96de22414617c7483
catchproof result	guard_catchproof_run.stdout	9fb4096fbde8ff8d56475e935951a7d4dbafc62143dc1faaeed7b9e55dfc8dc4
catchproof stderr	guard_catchproof_run.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
catchproof execution	guard_catchproof_run.json	8f54f2c5fe95fd2b2b50c31ccf36eec01c12dd65e6159dd0c8988e82b070266d
original replay stdout	author_initial_replay.stdout	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
original replay stderr	author_initial_replay.stderr	f8cec643263ec421cbace5f22560e785241171dd70ea37959242cb50d3855c6d
original replay execution	author_initial_replay.json	e5c62cf9b3e72ee90fa01b87338910790a97f23b06488f1b57554b9eba9fabf3
repaired replay stdout	author_repaired_replay.stdout	740d00e11cb8a1eb619227531d2d60ca02f0855be40c78ac8f19a69920b617a3
repaired replay stderr	author_repaired_replay.stderr	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
repaired replay execution	author_repaired_replay.json	d38fdee94b9d576d3b53f9b520fcb7b2a138b373e800bff4dac1a722cbc40edd
