catch	result
Bach_equation_overclaim_rejected	PASS
acceleration_overclaim_rejected	PASS
action_overclaim_rejected	PASS
base_source_mutation_rejected	PASS
boundary-branch_misgrade_rejected	PASS
boundary_equation_overclaim_rejected	PASS
carrier_import_rejected	PASS
closure_overclaim_rejected	PASS
constant_misgrade_rejected	PASS
derivation_full_equation_loss_rejected	PASS
derivation_kernel_mutation_rejected	PASS
electron_overclaim_rejected	PASS
gauge_equation_overclaim_rejected	PASS
matter_equation_overclaim_rejected	PASS
maximum_overreach_rejected	PASS
missing_branch_rejected	PASS
missing_census_row_rejected	PASS
missing_equation_rejected	PASS
missing_scope_rejected	PASS
missing_source_rejected	PASS
missing_status_rejected	PASS
nonlinear-branch_misgrade_rejected	PASS
nonlinear-status_overclaim_rejected	PASS
nonlinear_equation_overclaim_rejected	PASS
scale_overclaim_rejected	PASS
scoped-negative_overclaim_rejected	PASS
singular-branch_misgrade_rejected	PASS
singular_equation_overclaim_rejected	PASS
stability_equation_overclaim_rejected	PASS
time-live_misgrade_rejected	PASS
wall_overclaim_rejected	PASS
