item	registry_ids	disposition	category	source	reason_or_remaining_gate
CP1	G383	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_g313_curvature_phase_current_candidate_2026-09-06/CANDIDATE_ARGUMENT.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
HB2	G384	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_hopfion_bridge_stability_reassessment_2026-09-08/step_02/CANDIDATE_INITIAL.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
HB3	G385	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_hopfion_bridge_stability_reassessment_2026-09-08/step_03/CANDIDATE_INITIAL.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
BI2	G386	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_berger_initial_data_preservation_campaign_2026-09-08/step_02/CANDIDATE_INITIAL.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
BI3	G387	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_berger_initial_data_preservation_campaign_2026-09-08/step_03/CANDIDATE_INITIAL.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
NR1	G388	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_01/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
NR2	G389	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_mode_realizability_campaign_2026-09-09/step_02/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
LG1	G390	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_geometry_campaign_2026-09-09/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
LG2	G391	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_geometry_campaign_2026-09-09/step_02/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
LE1	G392	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_localized_evolution_followup_2026-09-09/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
SE1	G393	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_spatial_curvature_evolution_2026-09-09/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
NE1	G394	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_nonlinear_ripple_geometry_2026-09-09/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
ND1	G395	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_native_response_discrimination_2026-09-09/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
ND2	G396	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_native_response_discrimination_2026-09-09/step_02/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
QC1	G397	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_quiet_correspondence_campaign_2026-09-10/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
QC2	G398	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_quiet_correspondence_campaign_2026-09-10/step_02/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
GL1	G399	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gr_limit_campaign_2026-09-10/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
GL2	G400	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gr_limit_campaign_2026-09-10/step_02/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
RF1	G401	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_response_foundations_campaign_2026-09-10/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
NCI1	G402	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_null_clock_depth_integrability_assessment_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
DCI1	G403	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_directional_clock_curvature_whiteboard_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
KTI1	G404	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_kernel_twist_information_audit_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
ER1	G405	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_exact_metric_kernel_expansion_2026-09-10/INITIAL_CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
TM1	G406	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_tidal_measurement_feasibility_campaign_2026-09-07/step_01/CANDIDATE_ARGUMENT.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
TM2	G407	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_tidal_measurement_feasibility_campaign_2026-09-07/step_02/CANDIDATE_ARGUMENT.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
CO1	G408	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_complementary_wave_observable_campaign_2026-09-07/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
CO2	G409	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_CONDITIONAL_DESIGN_CONTROL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_complementary_wave_observable_campaign_2026-09-07/step_02/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
RD1	G410	BANKED_AT_EXACT_REVIEWED_SCOPE	BANKED_DERIVED_CONDITIONAL__VERIFIED_WITH_CAVEATS__OWNER_AUTHORIZED__NOT_PHYSICAL_ADOPTION__NOT_CANON	udt_gw_response_robustness_design_campaign/step_01/CANDIDATE.md	Source/readiness, fresh integration review and actual full395 passed; exact conditions and evidence category retained.
