premise_id	premise	classification	used	consequence_if_removed
P01	founded_reciprocal_pair_action	pinned-by-THEORY	YES	clock_ruler_depth_factors_unowned
P02	direct_sum_spectator_4D_extension	pinned-by-HABIT_REGISTERED_EXACT_WITNESS	YES	existence_result_does_not_extend_to_unspecified_4D_class
P03	constant_phi0	pinned-by-HABIT_BOUNDED_CONTROL	YES	no_negative_or_uniqueness_claim_beyond_constant_depth
P04	zero_shift_and_pair_screen_cross_blocks	pinned-by-HABIT_BOUNDED_CONTROL	YES	projector_and_product_completeness_scope_would_change
P05	FC07_mapping_torus_class	pinned-by-THEORY_REGISTERED_BRANCH	YES	no_torus_bundle_completion_claim
P06	all_8_registered_monodromy_witnesses	free-and-explored	YES	bounded_census_would_be_incomplete
P07	infinite_GL2Z_family	free-and-explored	NO	no_exhaustive_monodromy_theorem
P08	h0_over_full_SPD2	free-and-explored	YES	positivity_and_fixed_screen_classification_would_be_a_slice
P09	flat_interpolation_switch	category-A_smooth_construction	YES	C_infinity_seam_witness_requires_another_interpolation
P10	orientation	free-and-retained	YES	det_minus_1_rows_would_be_silently_removed
P11	physical_completion_selector	free-and-explored	NO	all_completion_values_remain_unselected
P12	action_variation_field_equation	pinned-by-SCOPE_NONE	NO	off_shell_only
P13	carrier_source_density_bootstrap_stability	pinned-by-SCOPE_NONE	NO	no_matter_or_stability_conclusion
P14	metric_merit_or_desired_shape	pinned-by-SCOPE_NONE	NO	no_branch_filtered_by_expected_physics
