claim_id	object	status	exact_scope	remaining_open
S01	FC07_mapping_torus_metric_witnesses	DERIVED_CONDITIONAL_BOUNDED	all_8_registered_monodromy_controls;chosen_block_extension;constant_phi	infinite_GL2Z_family_and_generic_4D_extension
S02	C_infinity_seam_descent	DERIVED	flat_switch_and_exact_congruence_all_8_rows	other_join_classes_and_time_live_seams
S03	positive_definite_full_screen	DERIVED	all_h0_in_SPD2_and_all_0_le_chi_le_1	pair_screen_cross_blocks
S04	Lorentzian_geodesic_completeness	DERIVED	constant_lapse_product_with_compact_complete_spatial_mapping_torus	stationary_nonproduct_and_dynamic_metrics
S05	global_oriented_coframes	DERIVED_CONDITIONAL_BOUNDED	6_det_plus_1_rows	physical_orientation_requirement
S06	local_transition_coframes	DERIVED_CONDITIONAL_BOUNDED	2_det_minus_1_rows;FC07_FC09_overlap	whether_nonorientable_spacetime_is_admissible_physically
S07	metric_congruence_fibers	DERIVED	7_endpoint_operator_equality_classes_from_8_frozen_representatives;I_and_minus_I_collapse	GL2Z_conjugacy_mapping_torus_diffeomorphism_and_infinite_family_classification
S08	abstract_coframe_graphs	DERIVED_PARENT	8_distinct_presentations_before_metric_readout	physical_status_of_coframe_gauge_and_lattice_data
S09	constant_screen_subfamilies	DERIVED	6_of_8_registered_controls	whether_any_is_on_shell
S10	forced_screen_variation	DERIVED_CONDITIONAL_BOUNDED	parabolic_and_hyperbolic_within_positive_block_screen_FC07	generic_nonblock_extension
S11	global_integrable_screen_projector	DERIVED	all_8_constructed_mapping_tori	connection_parallelism_and_parent_response_projector_join
S12	parallel_projector	OPEN_NOT_REQUIRED	fails_where_h_prime_nonzero;constant_subfamilies_exist	whether_native_equations_require_or_forbid_parallelism
S13	physical_completion_or_monodromy	OPEN	zero_selectors	metric_native_selection
S14	native_dynamics_stability_bootstrap_matter	OPEN	not_entered	complete_equation_return_source_and_stability
