gate_id	gate	pass_condition	fail_ruling
F01	registry_identity	eight_candidate_ids_matrices_and_classes_match_frozen_registry	PREREGISTRATION_OR_SOURCE_MISMATCH
F02	unimodularity	abs_det_M_equals_1_for_every_row	INVALID_MAPPING_TORUS_MONODROMY
F03	endpoint_congruence	h1_equals_M_transpose_h0_M_symbolically	NO_METRIC_DESCENT
F04	positive_cone_preservation	h1_and_every_convex_intermediate_are_SPD_for_every_h0_SPD	DEGENERATE_OR_INDEFINITE_BRANCH
F05	C_infinity_seam	all_transformed_endpoint_jets_match_using_flat_switch	INSUFFICIENT_REGULARITY
F06	local_coframe_descent	smooth_square_root_exists_and_seam_O2_factor_is_exact	COFRAME_DESCENT_OPEN
F07	spatial_completeness	compact_smooth_mapping_torus_plus_positive_metric	SPATIAL_COMPLETENESS_NOT_ESTABLISHED
F08	Lorentzian_completeness	constant_lapse_product_geodesics_decouple_and_extend	FOUR_METRIC_COMPLETENESS_NOT_ESTABLISHED
F09	fiber_equivalence	metric_congruence_maps_are_classified_without_count_inflation	DISTINCTNESS_OVERCLAIM
F10	premise_firewall	zero_action_source_carrier_density_weight_selector_or_stability_input	IMPORTED_OR_TARGETED_RESULT
F11	semantic_scope	FC07_and_M_remain_unselected_and_off_shell	PHYSICAL_PROMOTION
F12	independence	separate_implementation_reconstructs_load_bearing_algebra	NOT_INDEPENDENTLY_VERIFIED
