path	role	frozen_blob	frozen_sha256	frozen_size	current_sha256	unchanged_at_freeze
CURRENT_SCIENTIFIC_PREMISES.md	current_premise_prose	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	YES
CURRENT_SCIENTIFIC_PREMISES.tsv	current_premise_ledger	f923b077483c2d2ab5fde2697a6e63649d027dc6	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	6798	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	YES
udt_completion_parameterized_local_fiber_audit_2026-08-01/AUDIT_REPORT.md	parent_result	f2387105c3737a562e680d10ce1ecdb2daca3497	ef0544dd733fda802f119ceaac2e79e6a13bd0c5b6a1f3b7d9782412d9ffa74a	3305	ef0544dd733fda802f119ceaac2e79e6a13bd0c5b6a1f3b7d9782412d9ffa74a	YES
udt_completion_parameterized_local_fiber_audit_2026-08-01/EXACT_DERIVATION.md	parent_fiber_algebra	b3f5780a2df1d0c23aaa332381bf881787d70df2	61daf998093be9682f43c1d55ffb9ca5b998fb3b4998e2a1cb8db6da96ae6ec3	4649	61daf998093be9682f43c1d55ffb9ca5b998fb3b4998e2a1cb8db6da96ae6ec3	YES
udt_completion_parameterized_local_fiber_audit_2026-08-01/STATUS_LEDGER.tsv	parent_status	faf8c2f18a756780c2c588f817b4c010256f547c	4598b601bc43a2fe7a52005ea1d1c3e87a382b75fecd85a636419380f454c7a7	1426	4598b601bc43a2fe7a52005ea1d1c3e87a382b75fecd85a636419380f454c7a7	YES
udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	completion_registry_rulings	41ae13b2d01794988ce8a716e57ce8494c894b6c	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	YES
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	FC07_definition	ac18f8fd197d75bbde8cda6494b05a84289cd9bc	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	2608	73d9f21e31d74c174dc173e03ddd27f8689c376170959d8419004f225bed73e6	YES
udt_global_metric_assembly_atlas_2026-07-22/TORUS_MONODROMY_REGISTRY.tsv	monodromy_controls	12c21e3d57cdfca2fff96690762d3fb2b316ddea	48562720a667148a750a0835a58194ca3b411593216059cccbae3fb22e83925a	952	48562720a667148a750a0835a58194ca3b411593216059cccbae3fb22e83925a	YES
udt_global_metric_assembly_atlas_2026-07-22/SELECTOR_MATRIX.tsv	nonselection_status	b55213992584e8ac17decdd40b18bd00a235c2a9	e8d276cb5ff88b5fa738249de1bdd1d64e09b0de7796c3c95ff67904c3c9ec12	20496	e8d276cb5ff88b5fa738249de1bdd1d64e09b0de7796c3c95ff67904c3c9ec12	YES
udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	completion_scope	33617f36c890812e5df6195eb504b571f125de95	354047b6cac9406c75b700912e2a3aab402f7dd1c32a73adc229ee2054a1502e	7446	354047b6cac9406c75b700912e2a3aab402f7dd1c32a73adc229ee2054a1502e	YES
