premise_id	premise	status	use
P01	founded_phi_additive_log_depth	DERIVED	active identity
P02	founded_pair_action_diag_exp_minus_plus_phi	DERIVED	active reciprocal block
P03	complete_coframe_configuration_architecture	DEFINED_CONFIGURATION_ARCHITECTURE	audit domain
P04	local_founded_pair_embedding	CONDITIONAL_SUPPLIED	no universal section claim
P05	Lorentz_signature_minus_plus_plus_plus	REGISTERED_ARCHITECTURE	exact algebra
P06	all_four_coframe_first_jet_directions	FREE_AND_EXPLORED	no frozen spatial jets
P07	all_ten_metric_tangent_directions	FREE_AND_EXPLORED	no frozen metric amplitude
P08	factorized_Q_S_chart	CONDITIONAL_EXACT_WITNESS	joint-sector witness only
P09	dphi_zero_timelike_null_spacelike	FREE_AND_EXPLORED	complete causal census
P10	coframe_and_screen_rank_strata	FREE_AND_CHARACTERIZED	no merit filtering
P11	configuration_path_is_physical_time	NOT_ASSUMED	forbidden promotion
P12	Levi_Civita_connection	DERIVED_PER_NONDEGENERATE_METRIC	undefined at degenerate metric
P13	bulk_evolution_operator	OPEN_NOT_SUPPLIED	cannot define time-live solve
P14	boundary_operator_or_polarization	OPEN_NOT_SUPPLIED	no boundary solve
P15	global_local_mutual_admissibility	WORKING_POSIT	no formula imported
P16	strong_local_CSN	INACTIVE	must not reactivate
P17	c_E_and_G_obs	OBSERVED_UNUSED	calibration not selector
P18	S2_carrier	POSIT_UNUSED	no carrier result
P19	mass_density_Xmax_matter_dynamics	OPEN_UNUSED	no promotion
P20	smoothness_or_nonsingularity_as_merit_filter	FORBIDDEN	characterize every registered stratum
