operation_id	operation	metric_native_status	nonidentity_condition	physical_ruling
T01	full_coframe_first_jet_lift	DERIVED_KINEMATIC_SURJECTION	NONE	FULL_40_DIRECTION_FIRST_JET_NONSELECTION
T02	dphi_causal_classification	DERIVED_INTRINSIC_CLASSIFICATION	SIGN_OF_S_PHI	CLASSIFIES_WITHOUT_SELECTING
T03	normalized_projector_extension	DERIVED_REGULAR_ONLY	S_PHI_NONZERO	NO_UNIVERSAL_NULL_OR_ZERO_EXTENSION
T04	unnormalized_line_and_sharp_extension	DERIVED_WHILE_METRIC_NONDEGENERATE	DPHI_NONZERO_FOR_LINE	FINITE_ACROSS_NONZERO_NULL_NONSELECTION
T05	nonzero_null_crossing	DERIVED_EXACT_PATH	S_PHI_CROSSES_ZERO	PROJECTOR_SIMPLE_POLE_LINE_SURVIVES
T06	zero_gradient_crossing	DERIVED_EXACT_TWO_PATH_CONTROL	DPHI_EQUALS_ZERO	NORMALIZED_LIMIT_PATH_DEPENDENT
T07	screen_rank_crossing	DERIVED_FACTOR_CHART_DEGENERATION	DET_Q_EQUALS_ZERO	FULL_METRIC_DEGENERATES_NO_CANONICAL_LORENTZ_CONTINUATION
T08	full_coframe_rank_crossing	DERIVED_DETERMINANT_IDENTITY	DET_THETA_EQUALS_ZERO	INVERSE_AND_LEVI_CIVITA_LOST_ADJUGATE_MAY_REMAIN
T09	Lorentz_stabilizer_transition	DERIVED_INTRINSIC_ALGEBRA_CHANGE	CAUSAL_OR_ZERO_STRATUM	SO3_SO12_ISO2_SO13_TYPES_NONSELECTION
T10	first_jet_Maurer_Cartan	DERIVED_IDENTITY_ORDER_BOUNDARY	SECOND_JET_REQUIRED	NO_FIRST_JET_EVOLUTION_CONSTRAINT
T11	angular_mixing_modulation	DERIVED_EXACT_JOINT_DEPENDENCE	COMPLETE_BLOCK_METRIC	MIXING_OR_UNIT_AREA_SHEAR_CHANGES_S_PHI_CLASS
T12	physical_time_evolution_or_bootstrap_return	UNDEFINED_WITHOUT_PARENT_LAW	BULK_AND_GLOBAL_RETURN_REQUIRED	CIRCULAR_PARENT_LAW_REQUIRED
