source_id	path	sha256	role	authority
S01	CURRENT_SCIENTIFIC_PREMISES.md	1019d5b4ac84498569a05a465262c0733486bc580fe25ae80bba161e803bb1a0	current premise semantics	CURRENT_CONTROL_AT_BASE
S02	CURRENT_SCIENTIFIC_PREMISES.tsv	066d4372fb04da3c43c0af12a611bf702d0b129ab502952bd7aba550b8d7174d	machine premise precedence	CURRENT_CONTROL_AT_BASE
S03	LIVE.md	f5c42f2916edff0f347baa4e58c34daae3a1fac5f3633fd417edea5723552401	frontier and authority boundary	CURRENT_CONTROL_AT_BASE
S04	udt_complete_coframe_extension_solvability_audit_2026-08-04/AUDIT_REPORT.md	14a936317d1559d55494717fddde408e2c8c334dc793879e579db6a0987eced9	immediate parent verdict	CURRENT_PARENT
S05	udt_complete_coframe_extension_solvability_audit_2026-08-04/EXACT_DERIVATION.md	79d07c9fea46ef2b00757f412c5701ec3e748b6bfde5a5d137423379f4e06f0d	smooth extension and Cartan boundary	CURRENT_PARENT
S06	udt_complete_coframe_extension_solvability_audit_2026-08-04/PREMISE_LEDGER.tsv	976eee3e0842eeb266f11eed969c53283faaebfea9cf0dfcc1ac1b231c045295	parent premise stamps	CURRENT_PARENT
S07	udt_complete_coframe_extension_solvability_audit_2026-08-04/OPERATION_LEDGER.tsv	da08a792f11e13ac4e8e3e61bc982284ad3bd27b52b38418c405c2a11cd8cbe2	open E10 stratified class	CURRENT_PARENT
S08	udt_full_coframe_response_selection_audit_2026-08-04/AUDIT_REPORT.md	aefdacb0527e965298d7f0404fef32b1854145686ad139da8d127ae0ba5dbe0d	full coframe response scope	CURRENT_PARENT
S09	udt_full_coframe_response_selection_audit_2026-08-04/EXACT_DERIVATION.md	33653be7774232ca7b3bf79cec4d1f6fc8fd3a398598b288768e63d2b5292454	16 to 10 tangent map	CURRENT_PARENT
S10	udt_full_coframe_response_selection_audit_2026-08-04/RESULT.json	69f85ab0ed812092eedca14bf61f80cd2a77a65c7f084782bbb759b30d089836	frozen exact tangent counts	CURRENT_PARENT
S11	udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	e47706635621068564dbbf40338eb7a59eb37e6fa3a0d96b5c59d7a390e50eb4	factorized local chart	CURRENT_ARCHITECTURE
S12	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	founded phi identity and open embedding	CURRENT_FOUNDATION
S13	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/EXTENSION_CLASS_LEDGER.tsv	7a4fba1c6f9d02eb7ca12ac953d04e1c04e2b7271598dc99e51db5baeddedb08	complete extension classes	CURRENT_FOUNDATION
S14	udt_founded_pair_first_jet_one_form_atlas_2026-07-26/AUDIT_REPORT.md	6c3462a1f469e01753f9fe8b456598182716527048816cbf875db0e6ce905c98	pair first-jet vocabulary	BOUNDED_PARENT
S15	udt_founded_pair_first_jet_one_form_atlas_2026-07-26/EXACT_DERIVATION.md	5ad4696f77addbd18014e935a282b6a24e00412b3533d1679134ebd526869100	pair first-jet exact algebra	BOUNDED_PARENT
S16	udt_founded_pair_first_jet_one_form_atlas_2026-07-26/STATUS_LEDGER.tsv	5aca244b3423ab9e84a6059b9a250e5b3dc6c242366bb4711cab95de977ac8c6	pair first-jet status	BOUNDED_PARENT
S17	udt_local_jet_atlas_p02_2026-07-21/DPHI_FIRST_JET_STRATA.tsv	250ec233f861aa9ba18d093e831c07dc6bda3c3885b872c0b650a7c47f1ee1b7	prior dphi strata	BOUNDED_PARENT
S18	udt_local_jet_atlas_p02_2026-07-21/SPLIT_FIRST_JET_STRATA.tsv	7a16604107c1c28d681a078a23d8363ecf7f58ca57582ec840c291254b8336c0	prior split-jet strata	BOUNDED_PARENT
S19	udt_time_live_characteristic_flux_audit_2026-07-21/AUDIT_REPORT.md	6949cfd631e13efe472713c887a586278f312d3798c0f60ea7218ff667761550	prior no-evolution time-live classification	CONDITIONAL_PARENT
S20	udt_time_live_characteristic_flux_audit_2026-07-21/STATUS_LEDGER.tsv	86d6055b0cb04c6fe3e6ad7976b9fe73e95b77673c2ff2006f1c617470caea3e	conditional lane status	CONDITIONAL_PARENT
S21	udt_general_screen_complete_cell_atlas_2026-07-28/AUDIT_REPORT.md	21fc7594ff288bb8297f3a8be36e8cfac336e340b376802a649ae95b3c10f932	full screen and shear vocabulary	CURRENT_PARENT
S22	udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	3d6cab420d4cb20dc0042c4ccce88a4d0b13d0c75572cc78a47daa04be87297f	screen exact algebra	CURRENT_PARENT
S23	udt_query_bundle_section_descent_audit_2026-08-04/STRATIFIED_SECTION_LEDGER.tsv	cee2ed897747c04b80b67909618c7c492a0e45c5fc923ee4f049525a1f541618	section strata ownership	CURRENT_PARENT
S24	udt_native_law_home_codomain_ownership_audit_2026-08-04/STRATIFIED_OWNERSHIP_LEDGER.tsv	d14dfca27230ea55b1e3ffd14db99c7c37eb9d5b7cdbc95105924a5bb2998448	law ownership by stratum	CURRENT_PARENT
S25	udt_extension_bundle_globalization_variation_audit_2026-08-04/AUDIT_REPORT.md	ea904def7f41c4d2ca7bd8087549d81bf0740146c6da7152eb743c033dd09395	globalization and variation boundary	CURRENT_PARENT
S26	udt_extension_bundle_globalization_variation_audit_2026-08-04/GLOBALIZATION_ARCHITECTURE.md	9720dafebefa1344bd9fe647ab6a26c8d0cfd1366f42f69bc744c79ddc733246	bundle architecture	CURRENT_PARENT
