path	bytes	sha256
ADVERSARIAL_REVIEW_REQUEST.md	1455	3a3bbfc3be31a0c83df2baaf8999b48f161288cd1a29d6b5c9ef5d58fb2c129f
AUDIT_REPORT.md	5208	7b3cc8044e36ab451b6c1dc07e6830334bb6d288e77fb95a86926eadc337223a
CATCH_PROOFS.tsv	914	91be344722b2e6530a03bd74c550108df7db6ca650783604d0e6f62ef7468e84
COMMANDS.md	830	9cd89ac47f2d1ae6c33f4abb5ad35409e26895d509ffb3bbcd26f06d9e9cc34f
COMPLETENESS_MAP.md	1351	fd643c0d8882aa55818663fcee60676543dffd587f0db307ea0462d5ca43e84d
EXACT_DERIVATION.md	6981	0fe738597c746b4072eb555de7a6034857d05f05fac3df0f3a570a107134e257
FOUR_GATES.md	1306	0291058e14d9d5bc9825bd5afcdb164a268818dad067584411c14def56ca0e5e
FRESH_ADVERSARIAL_REVIEW.md	2228	6e072f73fd9fb65a56096a1312596185a3b885a58c65374d657eb796fe84f59c
HYPOTHESIS_LEDGER.tsv	1087	564f33bdef50c59bf4b2ec9fa41faf70802e6f9538d5af3130387b901d41ad7b
INDEPENDENT_RESULT.json	2209	31379ca5a0212874386bba8d03d0fc1ea4247a058b2f0cde159edb4cceef8cf0
LAY_REPORT.md	1827	81d93d5fe57b288d904ad0b3674a557d597fa0f6655a5f8167d1ba547dd4ed0d
OBSERVABLE_UNIVERSE.tsv	1489	0198a296a1cfb5bced7a680f6485926a0e16f6849cd4e1a93fb32c1bb613ebbd
OPERATION_UNIVERSE.tsv	1053	c957a7e10a0942d175c19b47053ae135dd88710213d37216dfe8c903c060cfb2
PREMISE_LEDGER.tsv	1526	bce6a10d1ffbfd5817772ba7fcba2495b41ac1c06ed5a884abf4da6c4fc40f2a
PREREGISTRATION.md	7813	43a78769e8b1414ea21f9cf1aebba04432148aaec7432ec739f2ccd342a41275
REPOSITORY_GATES.json	425	94efdf899b8e26dcd86ccddc6e002d2768e8b162ec1b48609023bc2630a01a7e
RESULT.json	8005	41fc6442977b1a5e36a53ba2640e2e918a64bd94c8403c513f31e0a58f7c2799
REVIEW_CLOSURE.md	691	cd844c5b05aa6f9a592066a942aa9c89af7173aec4edc452cc83d3c760c841aa
RUN_ENVIRONMENT.json	216	a07d66ffaba08b3c3e5d9ffd2124eb605d6149308b0ef0299ae539047e13b18f
SECTOR_UNIVERSE.tsv	1387	cd3c80a9958c7aebd5ee8ab50acd312893d566c399f55b7d3721cd65e6eb8749
SOURCE_ADJUDICATION.tsv	4761	7a6bf0587df597342eca7622e0afdbf1f1b282c160aa43d9a18e643002ce35d4
STRATUM_UNIVERSE.tsv	670	aaa53e724790ed28bbf71612b751a2f1d6e914e9735fd6cc208ff470f4631e10
TRANSITION_LEDGER.tsv	1523	3154e2d19609f7baf262326e30bfaeaecb84550e31b6fc8b25bd413ebcac0e8a
VERIFICATION_RESULT.json	4708	1356e45a872aeff4f0fdbbd29196f67cc0737d00fc78e32697cbc811f1f3f195
derive_stratified_first_jet.py	14734	a32f130560a48df40050b2893a6fb6132a3116f6dd80b2f0d3e8ceb354bcead2
independent_stratified_first_jet.py	12644	4ef686e7765bab285f75004f515301526b761774e02cf1adb7be112d37ea3bf2
verify_audit.py	17241	58565111e66c193cffe3e913e55ba10b5f804a17559ca496ee7b5603949c92ca
verify_package_manifest.py	1255	86286985fe93efd46fffc33fb34cb5d187319ea0b392b671bc8eaef428ad09c4
verify_repository_gates.py	6210	874d6b0c7e4b63fd3aa2bd0764db14fdd09e877c770b14fb9da1c46e375c2289
