path	role
CURRENT_SCIENTIFIC_PREMISES.md	foundational_claim_precedence
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_precedence
LIVE.md	current_navigation_and_authority_boundary
HANDOFF.md	current_resume_summary
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/PACKAGE_MANIFEST.sha256	parent_package_identity
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/PACKAGE_VERIFICATION.json	parent_package_verification
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/SOURCE_MANIFEST.tsv	parent_source_universe
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/AUDIT_REPORT.md	parent_headline_and_scope
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/EXACT_DERIVATION.md	parent_exact_reasoning
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/DERIVATION_RESULT.json	parent_machine_result
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/derive_cartan_alternating.py	parent_production_code
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/INDEPENDENT_RESULT.json	parent_same_context_independent_result
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/verify_cartan_alternating_independent.py	parent_independent_code
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/OBJECT_PRODUCTION_LEDGER.tsv	parent_object_typing
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/BRANCH_PULLBACK_RANK_ATLAS.tsv	parent_branch_ranks
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/CURVATURE_ALTERNATING_CENSUS.tsv	parent_curvature_census
udt_complete_cell_cartan_alternating_production_audit_2026-08-02/CATCH_PROOFS.tsv	parent_semantic_catches
udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	load_bearing_S3_Cartan_source
udt_general_screen_complete_cell_atlas_2026-07-28/GENERAL_CARTAN_RESULT.json	load_bearing_S3_connection_source
udt_fc07_cartan_response_return_audit_2026-08-01/EXACT_DERIVATION.md	load_bearing_FC07_source

