id	required_check	failure_if
R01	parent_package_identity	manifest_or_entry_mismatch
R02	t1_log_derivative_sign	identity_not_exact
R03	primitive_reference_shift	wrong_sign_factor_or_nonexact_difference
R04	local_screen_SO2_behavior	claimed_invariant_changes_or_missing_connection_term
R05	orientation_behavior	log_abs_not_well_defined_on_each_nondegenerate_stratum
R06	m_non_load_bearing_guard	result_secretly_depends_on_presentation_split_of_mC
R07	affine_quotient	formal_rank_not_1_or_exact_kernel_not_5
R08	pullback_rank	fixed_collapse_or_rank_one_witness_wrong
R09	complete_S3_witness	global_smoothness_invertibility_or_tangent_wedge_fails
R10	branch_universe	actual_complete_first_Cartan_family_omitted_or_taxonomy_promoted
R11	independent_connection_curvature	torsion_metric_or_curvature_convention_mismatch
R12	curvature_bilinear_census	false_zero_incomplete_monomial_or_premature_substitution
R13	connection_naturality	connection_coefficient_promoted_or_tensorial_route_overexcluded
R14	production_wording	tautological_or_split_relative_content_overstated
R15	authority_boundary	law_density_action_carrier_source_mass_or_matter_promotion

