pivot	curvature_pair	two_form_leg	mixed_monomials	expression
FORWARD	Omega01	02	p2*s1	-FORWARD_E2_p1 + p1*p2 + p2*s1/2 + p3*t/2
FORWARD	Omega01	03	p3*s1	-FORWARD_E3_p1 + p1*p3 - p2*t/2 + p3*s1/2
FORWARD	Omega02	01	p2*s1	-FORWARD_E2_p1 + p1*p2 + p2*s1/2 + p3*t/2
FORWARD	Omega02	02	p1*s1;p3*s3	-FORWARD_E2_p2 - p1*s1/2 + p2**2 - p3*s3/2
FORWARD	Omega02	03	p3*s2	-FORWARD_E3_p2 + p1*t/2 + p2*p3 + p3*s2/2
FORWARD	Omega03	01	p3*s1	-FORWARD_E3_p1 + p1*p3 - p2*t/2 + p3*s1/2
FORWARD	Omega03	02	p3*s2	-FORWARD_E3_p2 + p1*t/2 + p2*p3 + p3*s2/2
FORWARD	Omega03	03	p1*s1;p2*s2	-FORWARD_E3_p3 - p1*s1/2 - p2*s2/2 + p3**2
FORWARD	Omega12	12	p3*s3	-FORWARD_E1_s1/2 - FORWARD_E2_p2 - p2**2 - p3*s3/2 - s1**2/4 + t**2/4
FORWARD	Omega12	13	p3*s2	-FORWARD_E3_p2 + p1*t/2 - p2*p3 + p3*s2/2
FORWARD	Omega13	12	p3*s2	-FORWARD_E3_p2 + p1*t/2 - p2*p3 + p3*s2/2
FORWARD	Omega13	13	p2*s2	-FORWARD_E1_s1/2 - FORWARD_E3_p3 - p2*s2/2 - p3**2 - s1**2/4 + t**2/4
REVERSE	Omega02	02	p1*s1;p3*s3	-REVERSE_E2_p2 - p1*s1/2 + p2**2 - p3*s3/2
REVERSE	Omega02	03	p2*s3	-REVERSE_E2_p3 - p1*t/2 + p2*p3 + p2*s3/2
REVERSE	Omega03	02	p2*s3	-REVERSE_E2_p3 - p1*t/2 + p2*p3 + p2*s3/2
REVERSE	Omega03	03	p1*s1;p2*s2	-REVERSE_E3_p3 - p1*s1/2 - p2*s2/2 + p3**2
REVERSE	Omega12	12	p3*s3	-REVERSE_E1_s1/2 - REVERSE_E2_p2 - p2**2 - p3*s3/2 - s1**2/4 + t**2/4
REVERSE	Omega12	13	p2*s3	-REVERSE_E2_p3 - p1*t/2 - p2*p3 + p2*s3/2
REVERSE	Omega12	23	p3*s1	REVERSE_E1_s3/2 - m*s2/2 + 3*p2*t/2 - p3*s1/2 + s1*s3/4 - s2*t/2
REVERSE	Omega13	12	p2*s3	-REVERSE_E2_p3 - p1*t/2 - p2*p3 + p2*s3/2
REVERSE	Omega13	13	p2*s2	-REVERSE_E1_s1/2 - REVERSE_E3_p3 - p2*s2/2 - p3**2 - s1**2/4 + t**2/4
REVERSE	Omega13	23	p2*s1	-REVERSE_E1_s2/2 - m*s3/2 + p2*s1/2 + 3*p3*t/2 - s1*s2/4 - s3*t/2
REVERSE	Omega23	12	p3*s1	REVERSE_E1_s3/2 - m*s2/2 + 3*p2*t/2 - p3*s1/2 + s1*s3/4 - s2*t/2
REVERSE	Omega23	13	p2*s1	-REVERSE_E1_s2/2 - m*s3/2 + p2*s1/2 + 3*p3*t/2 - s1*s2/4 - s3*t/2
