axis_id	object	p03g_status	p04_disposition	selection_or_value	source
A01	local_field_realization	OPEN_EXTENSION	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A02	cover_and_nerve	OPEN_DATA	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A03	reciprocal_transition_component	PARTLY_DERIVED	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A04	closed_path_cocycle_and_reversal_class	OPEN_GLOBAL_CLASS	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A05	CSN_representative_patching	OPEN_GLOBAL_SECTION	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A06	signed_phi_patching	OPEN_GLOBAL_FIELD	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A07	full_coframe_soldering_and_angular_lift	OPEN_FULL_LIFT	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A08	seal_and_boundary_tangent	OPEN_COMPLETION	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A09	topology_caps_periods_quotient_no_cap	OPEN_TOPOLOGY	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A10	regular_degenerate_type_changing_singular_completion	OPEN_COMPLETION	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A11	connection_and_torsion	OPEN_BRANCH	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
A12	scale_Xmax_mass_volume_bootstrap	NOT_EVALUABLE	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	NONE	udt_global_kinematic_assembly_p03g_2026-07-21/GLOBAL_ASSEMBLY_DATA_SCHEMA.tsv
