id	object	status	limit
S01	controlling_dynamics_status	NO_DYNAMICS_DERIVED	owner authorization creates conditional research lanes only
S02	L01_pre_scale_C2_Bach	AUTHORIZED_UNIQUE_CONDITIONAL_BULK_CLASS	not complete action or UDT selection
S03	L02_post_scale_EH	AUTHORIZED_CONDITIONAL_BULK_CLASS	representative scale and minimality premises required
S04	L03_two_stage_bridge	AUTHORIZED_OPEN_RESEARCH_LANE	no action operator selection functional or matching map
S05	field_realization_pairs	21_OF_21_ACCOUNTED_NONE_REMOVED	compatibility is not global existence
S06	global_assembly_axes	12_OF_12_FREE_AND_UNSELECTED	P03G carryforward
S07	boundary_completion	OPEN_ALL_LANES	no habitual GHY C2 or asymptotic completion imported
S08	native_matter_source_carrier_charge_mass	OPEN_OR_CONDITIONAL_NOT_ADOPTED	no source term enters P04
S09	comparison_merit	EXCLUDED	no GR particle soliton cosmology or empirical score
S10	P05_equations	NOT_LAUNCHED	separate dispatch required
S11	ODE_PDE_GPU	NOT_AUTHORIZED	P06 onward remains closed
S12	canonization	NOT_AUTHORIZED	Charles alone canonizes
S13	maximum_conclusion	DYNAMICS_LANES_AUTHORIZED_OR_REMAIN_OPEN	authorization and premise manifest only
