pair_id	lane_id	realization_id	realization	compatibility_status	unresolved_requirement	field_removed	globally_realized
L01_C01	L01	C01	CONFORMAL_METRIC_ONLY	CLASS_COMPATIBLE_CONDITIONAL	global conformal metric boundary and representative bookkeeping remain	NO	UNEVALUATED
L01_C02	L01	C02	CONFORMAL_METRIC_PLUS_INDEPENDENT_PHI	BLOCKED_UNGOVERNED_EXTRA_FIELD	independent phi has no equation in bare metric-only bulk	NO	UNEVALUATED
L01_C03	L01	C03	COFRAME_PLUS_RECIPROCAL_CHARACTER	CONDITIONAL_REFORMULATION_NOT_AUTO_EQUIVALENT	coframe variation soldering gauge and torsion assumptions must be explicit	NO	UNEVALUATED
L01_C04	L01	C04	METRIC_PLUS_SUPPLIED_PROJECTOR	BLOCKED_UNGOVERNED_EXTRA_FIELD	supplied projector has no equation or variation rule	NO	UNEVALUATED
L01_C05	L01	C05	METRIC_PLUS_MULTIPLIER_OR_HARD_RECIPROCAL_CONSTRAINT	BLOCKED_VARIATION_DOMAIN_MISMATCH	multiplier or hard tangent restriction changes the unrestricted metric class	NO	UNEVALUATED
L01_C06	L01	C06	TWO_STAGE_PRE_POST_SCALE_BRIDGE	NOT_STANDALONE_COMPLETE	pre-scale bulk is only one side of the open bridge	NO	UNEVALUATED
L01_C07	L01	C07	INDEPENDENT_CONNECTION_OR_TORSION	BLOCKED_UNGOVERNED_EXTRA_FIELD	independent connection or torsion has no equation in metric-only bulk	NO	UNEVALUATED
L02_C01	L02	C01	CONFORMAL_METRIC_ONLY	BLOCKED_POST_SCALE_REPRESENTATIVE_MISSING	conformal class alone does not supply physical representative and scale	NO	UNEVALUATED
L02_C02	L02	C02	CONFORMAL_METRIC_PLUS_INDEPENDENT_PHI	BLOCKED_UNGOVERNED_EXTRA_FIELD	independent phi has no equation in bare metric-only bulk	NO	UNEVALUATED
L02_C03	L02	C03	COFRAME_PLUS_RECIPROCAL_CHARACTER	CONDITIONAL_REFORMULATION_NOT_AUTO_EQUIVALENT	coframe variation soldering gauge and torsion assumptions must be explicit	NO	UNEVALUATED
L02_C04	L02	C04	METRIC_PLUS_SUPPLIED_PROJECTOR	BLOCKED_UNGOVERNED_EXTRA_FIELD	supplied projector has no equation or variation rule	NO	UNEVALUATED
L02_C05	L02	C05	METRIC_PLUS_MULTIPLIER_OR_HARD_RECIPROCAL_CONSTRAINT	BLOCKED_VARIATION_DOMAIN_MISMATCH	constraint implementation changes unrestricted metric variation	NO	UNEVALUATED
L02_C06	L02	C06	TWO_STAGE_PRE_POST_SCALE_BRIDGE	NOT_STANDALONE_COMPLETE	post-scale bulk requires the open bridge input	NO	UNEVALUATED
L02_C07	L02	C07	INDEPENDENT_CONNECTION_OR_TORSION	BLOCKED_UNGOVERNED_EXTRA_FIELD	Palatini or torsion dynamics would be a different premise class	NO	UNEVALUATED
L03_C01	L03	C01	CONFORMAL_METRIC_ONLY	BRIDGE_MUST_MAP	map from pre-scale class to physical representative absent	NO	UNEVALUATED
L03_C02	L03	C02	CONFORMAL_METRIC_PLUS_INDEPENDENT_PHI	BRIDGE_MUST_GOVERN_OR_REMOVE_FIELD	independent phi transition and equation absent	NO	UNEVALUATED
L03_C03	L03	C03	COFRAME_PLUS_RECIPROCAL_CHARACTER	BRIDGE_MUST_MAP	complete coframe soldering and stagewise transport absent	NO	UNEVALUATED
L03_C04	L03	C04	METRIC_PLUS_SUPPLIED_PROJECTOR	BRIDGE_MUST_GOVERN_OR_REMOVE_FIELD	projector emergence transport and variation absent	NO	UNEVALUATED
L03_C05	L03	C05	METRIC_PLUS_MULTIPLIER_OR_HARD_RECIPROCAL_CONSTRAINT	BRIDGE_MUST_DEFINE_VARIATION	constraint placement before during or after scale selection absent	NO	UNEVALUATED
L03_C06	L03	C06	TWO_STAGE_PRE_POST_SCALE_BRIDGE	NATIVE_BRANCH_MATCH_BUT_OPERATOR_OPEN	branch name matches but no selection or matching functional exists	NO	UNEVALUATED
L03_C07	L03	C07	INDEPENDENT_CONNECTION_OR_TORSION	BRIDGE_MUST_GOVERN_OR_REMOVE_FIELD	connection torsion matching and equations absent	NO	UNEVALUATED
