object	status	claim	scope_or_owner
complete_coframe_metric	DERIVED	g=E^T_eta_E evaluates supplied B_Q_S	frozen_complete_coframe_source
pair_pullback	DERIVED	h=F^star_g evaluates supplied calibrated immersion	frozen_kernel_source
terminal_phi_pair	DERIVED	one_quarter_log_minus_det_h_over_h00_squared	regular_pair_stratum
xi_representation	CHOSE_WORKING_RELATION_FIRST_REPRESENTATION	xi=X_max_tanh_phi_pair_n	G148_not_spacetime_displacement
registered_metric_history	CHOSE_NUMERICAL_WITNESS	affine_complete_coframe_on_local_patch	G149_only
registered_pair_immersion	CHOSE_NUMERICAL_WITNESS	quadratic_calibrated_pair_surface	G149_only
levi_civita_connection	DERIVED	unique_torsion_free_metric_compatible_connection_of_registered_g	G149_witness
dot_phi_pair	DERIVED	actual_normalized_pair_clock_derivative	G149_witness
a_n	DERIVED	radial_component_of_query_clock_acceleration	G149_witness
Omega	DERIVED	metric_pair_screen_projection_of_nabla_u_n	G149_witness_not_path_holonomy
covariant_first_jet_identity	DERIVED	direct_and_split_nabla_u_xi_agree_exactly	supplied_smooth_regular_pair
B_Q_S_Y_Z_clock_direction_liveness	OBSERVED	each_registered_BQS_spacetime_gradient_and_pair_clock_direction_YZ_family_changes_at_least_one_output	one_preregistered_witness_sigma_direction_not_tested
lambda_comparison	DIAGNOSTIC	specific_G148_algebraic_lambda_substitution_is_detected	not_same_derivative_type
X_max	WORKING_FOUNDATIONAL_FRAME	symbolic_pair_asymptote_scale	value_and_global_realization_open
physical_history	OPEN	no_selection_from_one_witness	future_program
dynamics	OPEN	no_evolution_or_source_law_derived	future_program
regime_amplitudes	OPEN	coefficient_limits_do_not_fix_dot_phi_Omega_a_n	future_program
observational_fit	OPEN	not_tested	out_of_scope
