group_id	group_or_action	acts_on	registered_test	join_implication
G01	common_positive_scale	complete_coframe_and_metric	normalized_shape_invariance_and_conditional_energy_weight	cannot_identify_phase_groups
G02	angular_SO2_basis_rotation	traceless_shape_pair_and_eigenaxis	derive_spin_two_law	and_compare_only_after_types_are_fixed
G03	angular_GL2_chart_change	angular_metric_and_coframe	derive_tensor_congruence_and_isotropy_status	not_a_torus_translation
G04	torus_U1xU1_translation	angular_coordinates_and_shift_rows	derive_dxi_plus_Sdx_invariance	relative_U1_character_only
G05	torus_GL2Z_lattice_change	torus_coordinates_shift_and_character_lattice	test_w_equals_plus_or_minus_or_mixed	global_relative_phase_may_fail_to_descend
G06	local_Lorentz_coframe_change	full_orthonormal_coframe	metric_invariance_and_screen-frame_typing	no_internal_target_action_assumed
G07	base_diffeomorphism	base_forms_connection_and_curvature	tensorial_pullback	exactness_and_periods_are_domain_scoped
G08	mirror_or_orientation_glue	global_completion_data	test_eigenline_phase_and_integral_sign	no_orientation_selected
G09	cap_cycle_collapse	torus_lattice_at_endpoint	test_character_triviality_on_collapsing_cycle	no_smooth_cap_privilege
G10	CSN_representative_change	scale_neutral_structure	identify_neutral_and_non_neutral_outputs	does_not_supply_physical_scale
