group_id	group_or_action	shape_or_eigenaxis	relative_phase_or_connection	joint_status	exact_test
G01	common_positive_scale	H_and_axis_invariant	delta_and_b_invariant	SHARED_NEUTRALITY_ONLY	H(qD)=H(D)
G02	angular_SO2_basis_rotation	X+iY_to_exp(-2i_theta)(X+iY)	no_registered_relative_U1_action	DISTINCT_ACTION_TYPES	spin_two_residual_zero
G03	angular_GL2_chart_change	H_to_J_inverse_transpose_H_J_inverse;matrix_eigenaxis_not_intrinsic	primitive_character_covector_to_J_inverse_transpose_w_when_lattice_admissible	DUAL_SYSTOLE_SET_COVARIANT_ONLY_FOR_INTEGRAL_LATTICE_ACTION	tensor_congruence_and_dual_norm_invariance
G04	torus_U1xU1_translation	unchanged	delta_to_delta+lambda_rel;b_to_b-dlambda_rel	WEIGHT_ZERO_VERSUS_WEIGHT_ONE	d_delta_plus_b_invariant
G05	torus_GL2Z_lattice_change	fiber_metric_and_lattice_transform_together	fixed_w_may_mix;shortest_dual_set_transforms_covariantly	FULL_T2_PAIR_COVARIANT__RANK_ONE_UNIQUE_OFF_TIE_WALLS	SG04_plus_dual_selector_covariance
G06	local_Lorentz_coframe_change	metric_tensor_unchanged_by_internal_coframe_rotation	torus_coordinate_data_not_acted_on	NO_JOIN_FROM_COMMON_INVARIANCE	left_orthogonal_factor_cancels_in_D_transpose_D
G07	base_diffeomorphism	base_scalar_or_pulled_back_line_field	b_one_form_db_two_form	TENSORIALLY_COMPATIBLE_BUT_UNSOLDERED	form_degrees_preserved
G08	mirror_or_orientation_glue	unoriented_line_may_descend	phase_may_preserve_conjugate_or_mix	LIFT_DEPENDENT	FC08_FC09_branch_table
G09	cap_cycle_collapse	requires_regular_metric_axis_or_isotropic_zero	selected_dual_character_extends_only_if_trivial_on_collapsing_cycle_or_amplitude_vanishes	SELECTOR_DERIVED_LOCALLY__CAP_EXTENSION_DEPENDENT	SG11_determinants_and_w_dot_v
G10	CSN_representative_change	normalized_shape_neutral	coordinate_connection_neutral	PHYSICAL_RESPONSE_REPRESENTATIVE_OPEN	conditional_weights_q_and_q_inverse
