completion_id	eigenaxis_local	eigenaxis_global	connection_local	relative_phase_global	connection_global	joint_t2_object	rank_one_selector	joint_status	reason
FC01_BOUNDARY_BOUNDARY	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	BOUNDARY_EXTENSION_UNFIXED	DERIVED_IN_TORIC_CHART	LOCAL_COORDINATE_ONLY_WITHOUT_FRAMING	CURVATURE_AND_BOUNDARY_HOLONOMY_FREE	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	BOUNDARY_FRAMING_REQUIRED	two_open_boundaries_supply_no_physical_section
FC02_ONE_CAP_BOUNDARY	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	CAP_REGULARITY_AND_ISOTROPY_DEPENDENT	DERIVED_IN_TORIC_CHART	CHARACTER_MUST_BE_TRIVIAL_ON_COLLAPSED_CYCLE_OR_AMPLITUDE_VANISH	REMAINING_BOUNDARY_FRAMING_OPEN	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	ONE_CAP_PLUS_BOUNDARY_CONDITIONAL	cap_lattice_and_boundary_data_are_not_selected
FC03_TWO_CAP_P0	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	CAP_REGULARITY_AND_ISOTROPY_DEPENDENT	DERIVED_IN_TORIC_CHART	ONLY_CHARACTERS_TRIVIAL_ON_DEPENDENT_CAP_CYCLE_EXTEND	GLOBAL_CIRCLE_FACTOR_HOLONOMY_FREE	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	P0_BRANCH_DATA_REQUIRED	dependent_cycles_do_not_select_relative_character
FC04_TWO_CAP_P1	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	CAP_REGULARITY_AND_ISOTROPY_DEPENDENT	DERIVED_IN_TORIC_CHART	NONTRIVIAL_PHASE_ALONE_CANNOT_EXTEND_ACROSS_BOTH_UNIMODULAR_CAPS	SECTION_CAN_BE_REGULAR_ONLY_WITH_ADDITIONAL_VANISHING_AMPLITUDE_OR_PATCHING	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	HOPF_MAP_REQUIRES_LATITUDE_AMPLITUDE_AND_PATCHING	two_cap_cycles_span_lattice_so_nonzero_character_is_not_trivial_on_both
FC05_TWO_CAP_P_GT1	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	QUOTIENT_AND_ISOTROPY_DEPENDENT	DERIVED_IN_TORIC_CHART	CHARACTER_AND_QUOTIENT_CONGRUENCE_DEPENDENT	LENS_HOLONOMY_DEPENDENT	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	LENS_BRANCH_DATA_REQUIRED	general_cap_lattice_does_not_select_unit_relative_character
FC06_NONPRIMITIVE_CAP	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	ORBIFOLD_ISOTROPY_REPRESENTATION_REQUIRED	DERIVED_IN_TORIC_CHART	EXCEPTIONAL_STABILIZER_CHARACTER_REQUIRED	ORBIFOLD_CONNECTION_DATA_REQUIRED	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	SINGULAR_OR_ORBIFOLD_CONDITIONAL	nonprimitive_cycle_has_finite_stabilizer
FC07_PERIODIC_TORUS_BUNDLE	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	MONODROMY_INVARIANT_LINE_OR_LINE_BUNDLE_REQUIRED	DERIVED_IN_TORIC_CHART	ONLY_IF_M_TRANSPOSE_W_EQUALS_PLUS_OR_MINUS_W	CURVATURE_AND_HOLONOMY_CONSTRAIN_PARALLEL_SECTION	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	MONODROMY_AND_HOLONOMY_DEPENDENT	registered_GL2Z_examples_include_preserved_reversed_and_mixed_w
FC08_MIRROR_DOUBLE	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	UNORIENTED_LINE_MAY_DESCEND_BY_LIFT	DERIVED_IN_TORIC_CHART	PRESERVED_CONJUGATED_OR_MIXED_BY_LIFT	MIRROR_PARITY_AND_FIXED_SET_CONDITIONS	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	LIFT_DEPENDENT	no_mirror_lift_is_selected
FC09_NONORIENTABLE_GLUE	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	UNORIENTED_LINE_POSSIBLE_OR_DEGENERATE	DERIVED_IN_TORIC_CHART	COMPLEX_PHASE_MAY_REQUIRE_CONJUGATE_REAL_STRUCTURE	TWISTED_BUNDLE_DATA_REQUIRED	DERIVED_LOCALLY_WHERE_TORIC_LATTICE_EXISTS	DUAL_SYSTOLE_SET_DERIVED__UNIQUE_OFF_TIE_WALLS	ORIENTATION_TWISTED	orientation_reversal_does_not_select_phase_lift
FC10_STRATIFIED_PROJECTOR	EXISTS_ONLY_OFF_ISOTROPIC_LOCUS	UNDEFINED_OR_RANK_CHANGING_ON_STRATA	DERIVED_IN_TORIC_CHART	TORIC_CHARACTER_MAY_CHANGE_RANK_OR_DISAPPEAR	STRATUM_MATCHING_REQUIRED	STRATUM_DEPENDENT	UNDEFINED_OR_SET_VALUED_ACROSS_RANK_CHANGE	STRATUM_DEPENDENT_OR_DEGENERATE	no_universal_bundle_across_projector_rank_change
