axis_id	axis	object_type	status	sampled_or_exact	registered_domain	primary_question
A01	common_scale	positive_scalar	free-and-explored	exact	constant_and_nonconstant	what_is_CSN_neutral_and_what_requires_representative
A02	angular_depth_phi	scalar	free-and-explored	exact	real_and_profile	normalized_shape_response
A03	angular_shear	scalar	free-and-explored	exact	real_and_profile	eigenaxis_and_isotropy
A04	isotropic_locus	stratum	free-and-explored	exact	X_equals_Y_equals_zero	eigenaxis_degeneracy
A05	shift_exact_component	one_form_component	free-and-explored	exact	exact_on_contractible_patch	gauge_versus_framed_data
A06	shift_curvature	two_form	free-and-explored	exact	zero_and_nonzero	local_integrability
A07	shift_holonomy	global_period	free-and-explored	exact	zero_integral_nonintegral	global_parallel_section
A08	angular_basis_rotation	SO2_action	free-and-explored	exact	full_angle	spin_two_transition_law
A09	angular_chart_change	GL2_action	free-and-explored	exact	invertible_2x2	chart_covariance_and_shape
A10	torus_translation_gauge	U1xU1_action	free-and-explored	exact	base_dependent	relative_phase_connection_law
A11	torus_lattice_gluing	GL2Z_action	free-and-explored	exact	registered_representatives	relative_covector_descent_or_mixing
A12	cap_lattice	global_integer_pair	free-and-explored	exact	primitive_nonprimitive_unimodular_nonunimodular	phase_and_axis_extension
A13	mirror_lift	discrete_action	free-and-explored	exact	all_registered_lifts	parity_and_fixed_set_behavior
A14	orientation	orientation_class	free-and-explored	exact	preserving_reversing	global_charge_and_phase_status
A15	projector_rank_or_causal_stratum	stratum	free-and-explored	exact	regular_rank_change_or_null	global_continuation
A16	distribution_integrability	Frobenius_class	free-and-explored	exact	integrable_anholonomic	global_toric_coordinates
A17	embedding_or_section_choice	map	free-and-explored	exact	supplied_none_or_candidate	distinguish_geometry_from_choice
A18	boundary_framing	global_data	free-and-explored	exact	none_or_supplied	exact_shift_physical_status
A19	physical_representative	metric_scale_choice	OPEN	exact	unselected_or_supplied	conditional_energy_ownership
A20	conditional_carrier_response	diagnostic	CONDITIONAL	bounded_CPU	registered_probe_families_only	background_sensitivity_not_matter_solution
