premise_id	premise	stamp	role	source_or_reason	restriction
P01	complete_2plus2_triangular_coframe	DERIVED	metric_native_input	udt_coframe_hopf_bridge_audit_2026-07-23/STATUS_LEDGER.tsv	positive_triangular_chart_not_physical_selection
P02	normalized_angular_metric	DERIVED	metric_native_input	H=D^T_D/det_D	common_scale_removed_only_from_shape
P03	angular_depth_phi	free-and-explored	atlas_axis	complete_coframe	no_profile_selected
P04	angular_upper_triangular_shear	free-and-explored	atlas_axis	complete_coframe	no_aligned_slice_privilege
P05	four_base_angular_shifts	free-and-explored	atlas_axis	complete_coframe	no_zero_shift_privilege
P06	twelve_finite_cell_completion_classes	free-and-explored	global_domain	registered_global_atlas	no_completion_selected
P07	CSN_common_scale_neutrality	WORKING	invariance_test	current_UDT_premise	does_not_select_physical_representative
P08	Reciprocity	WORKING	structural_constraint	current_UDT_premise	does_not_supply_unregistered_bundle_map
P09	finite_cell_seal	WORKING	global_constraint	current_UDT_premise	boundary_type_and_functional_open
P10	bootstrap_global_admissibility	WORKING	later_selector	current_frontier	not_a_density_to_geometry_map
P11	global_density_window_for_matter	WORKING	hypothesis_outside_primary_atlas	current_owner_hypothesis	no_axis_called_density_here
P12	round_S2_carrier	POSIT	conditional_diagnostic	noNull_energy.py	not_metric_derived
P13	L2_plus_L4_functional	CONDITIONAL	conditional_diagnostic	noNull_energy.py	not_native_action
P14	flat_finite_box	CONDITIONAL	control_only	existing_hopfion_implementation	not_infinite_volume_or_selected_cell
P15	physical_metric_representative	OPEN	scale_owner	current_frontier	not_selected_by_CSN
P16	spin_two_angular_eigenaxis	TO_DERIVE	metric_native_candidate	normalized_angular_metric	no_target_phase_identification_assumed
P17	relative_torus_shift_connection	DERIVED_IN_CHART	metric_native_candidate	complete_shift_block	no_physical_section_assumed
P18	eigenaxis_to_torus_phase_soldering	OPEN	load_bearing_question	no_current_source	no_delta_equals_two_alpha_assumption
P19	connection_flatness	free-and-explored	branch_property	curvature_db	no_flatness_assumption
P20	trivial_or_integral_holonomy	free-and-explored	branch_property	global_connection	no_holonomy_selection
P21	c_or_G_observational_anchors	OBSERVED	outside_dimensionless_primary_atlas	current_UDT_scale_policy	not_used_as_atlas_tuning_parameters
P22	GR_QM_SM_or_external_field_equations	REJECTED_AS_DERIVATION	provenance_firewall	AGENTS.md	comparison_only_if_disclosed
