test_id	test	eigenaxis_action	phase_action	result	evidence
GC01	relative_translation_equivariance	trivial	weight_one	NO_EQUIVARIANT_IDENTIFICATION_WITHOUT_EXTRA_MAP	lambda_rel_arbitrary
GC02	angular_rotation_equivariance	spin_two_line	no_registered_matching_U1_action	GROUP_HOMOMORPHISM_NOT_SUPPLIED	X+iY_weight_minus_two
GC03	GL2Z_character_descent	matrix_eigenaxis_not_GL2_intrinsic_without_reference	integer_character_transport	BRANCH_DEPENDENT_NOT_UNIVERSAL	preserved=1;reversed=2;mixed=3
GC04	isotropic_locus	undefined	may_remain_coordinate_defined	NO_GLOBAL_POINTWISE_IDENTIFICATION	phi=0;shear=0
GC05	curved_connection	may_exist	no_parallel_local_section	NO_UNIVERSAL_PARALLEL_JOIN	db_nonzero
GC06	flat_nontrivial_holonomy	may_exist	local_parallel_but_global_obstruction	HOLONOMY_SCOPED_ONLY	exp(i_integral_b)_not_one
GC07	candidate_delta_equals_two_alpha	unchanged_under_torus_translation	delta_shifts_by_lambda_rel	FAILS_TORUS_TRANSLATION_EQUIVARIANCE	0_not_equal_arbitrary_lambda_rel
GC08	common_CSN_neutrality	neutral	neutral	SAME_NEUTRALITY_DOES_NOT_CREATE_SOLDERING	many_distinct_objects_share_weight_zero
GC09	full_torus_metric_connection_assembly	H_supplies_fiber_metric_moduli	S_supplies_T2_connection	JOINT_T2_METRIC_CONNECTION_OBJECT_DERIVED	theta_ang=D(dxi+Sdx)
GC10	metric_lattice_dual_systole	not_used	primitive_w_minimizes_w_transpose_H_inverse_w	CANONICAL_INTEGRAL_U1_CHARACTER_SET_AVAILABLE	finite_cell_torus_lattice_plus_H
GC11	dual_systole_uniqueness_and_transport	chart_eigenaxis_bypassed	unique_w_star_gives_b_w=w_star_transpose_S	UNIQUE_OFF_TIE_WALLS__SET_VALUED_ON_WALLS	SG01_cross_SG02_and_GL2Z_covariance
GC12	typed_joint_ruling	direct_spin_two_phase_join_remains_open	canonical_metric_lattice_U1_connection_candidate_available_branchwise	BRANCHWISE_CANONICAL_METRIC_LATTICE_U1_REDUCTION_AVAILABLE__PHYSICAL_SELECTION_AND_PHASE_SECTION_OPEN	GC01_through_GC11
